,product title,url,rating,price €,review_count,product
0,"Philips 275E2FAE - 27 Zoll QHD Gaming Monitor, 75 Hz, 4ms, AdaptiveSync (2560x1440, HDMI, DisplayPort) schwarz",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_computers_sr_pg1_1?ie=UTF8&adId=A06567372LPWNN27UP7AY&url=%2FPhilips-275E2FAE-AdaptiveSync-2560x1440-DisplayPort%2Fdp%2FB08HZBN57J%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Dmonitors%26qid%3D1625656199%26s%3Dcomputers%26sr%3D1-1-spons%26psc%3D1&qualifier=1625656199&id=2459959465002031&widgetName=sp_atf,4.5 / 5,269.99 ,177,Monitor
1,"AOC Gaming 24G2U - 24 Zoll FHD Monitor, 144 Hz, 1ms, FreeSync Premium (1920x1080, HDMI, DisplayPort, USB Hub) schwarz",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_computers_sr_pg1_1?ie=UTF8&adId=A10348833PH2Q4I4RO5WM&url=%2FAOC-24G2U-BK-DisplayPort-Reaktionszeit%2Fdp%2FB07Y3RYLVH%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3Dmonitors%26qid%3D1625656199%26s%3Dcomputers%26sr%3D1-2-spons%26psc%3D1&qualifier=1625656199&id=2459959465002031&widgetName=sp_atf,4.6 / 5,218.50 ,4.767,Monitor
2,"BenQ GW2480 60,45cm (23,8 Zoll) LED Monitor (Full-HD, Eye-Care, IPS-Panel Technologie, HDMI, DP, Lautsprecher) schwarz",https://www.amazon.com/BenQ-GW2480-IPS-Panel-Technologie-Lautsprecher/dp/B073NTCT4Q/ref=sr_1_3?dchild=1&keywords=monitors&qid=1625656199&s=computers&sr=1-3,4.7 / 5,132.17 ,12.199,Monitor
3,"Lenovo L27q-30 68,58 cm (27 Zoll, 2560x1440, WQHD, 75Hz, WideView, entspiegelt) Monitor (HDMI, DisplayPort, 4ms Reaktionszeit) schwarz",https://www.amazon.com/Lenovo-L27q-30-2560x1440-DisplayPort-Reaktionszeit/dp/B083QZXNDT/ref=sr_1_4?dchild=1&keywords=monitors&qid=1625656199&s=computers&sr=1-4,4.5 / 5,209.00 ,443,Monitor
4,"Dell S2421HGF, 24 Zoll, Gaming Monitor, Full HD 1920 x 1080, 144Hz, TN entspiegelt, 16:9, FreeSync, 1ms, höhenverstellbar",https://www.amazon.com/Dell-S2421HGF-Gaming-Monitor-Reaktionszeit/dp/B086M269P3/ref=sr_1_5?dchild=1&keywords=monitors&qid=1625656199&s=computers&sr=1-5,4.6 / 5,180.90 ,699,Monitor
5,"Lenovo Q27h-10 68,58 cm (27 Zoll, 2560x1440, WQHD, 75Hz, WideView, entspiegelt) Monitor (HDMI, DisplayPort, 4ms Reaktionszeit, AMD Radeon FreeSync) grau",https://www.amazon.com/Lenovo-2560x1440-DisplayPort-Reaktionszeit-FreeSync/dp/B086HZQ1K5/ref=sr_1_6?dchild=1&keywords=monitors&qid=1625656199&s=computers&sr=1-6,4.5 / 5,329.00 ,163,Monitor
6,"BONTEC Monitor Halterung 2 Monitore 13-27 Zoll LED/LCD Schreibtisch Bildschirm Halterung, Monitor Tischhalterung neigbar 180° schwenkbar 360° höhenverstellbar, 10 kg pro Arm, VESA 75/100, Schwarz",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_computers_sr_pg1_1?ie=UTF8&adId=A097163416253CHN56JYE&url=%2F1home-Monitor-Tischhalterung-Schreibtisch-Monitorst%25C3%25A4nder-h%25C3%25B6henverstellbar%2Fdp%2FB01MR397OH%2Fref%3Dsr_1_7_sspa%3Fdchild%3D1%26keywords%3Dmonitors%26qid%3D1625656199%26s%3Dcomputers%26smid%3DA1PFW4PC5IFLDF%26sr%3D1-7-spons%26psc%3D1&qualifier=1625656199&id=2459959465002031&widgetName=sp_mtf,4.6 / 5,27.41 ,6.044,Monitor
7,"Dell 27 Curved Gaming Monitor – S2721HGF 1920 x 1080 at 144 Hz,1ms (MPRT),HDMI 1.4 x 2 DP1.2 x 1 Headphone Out",https://www.amazon.com/Dell-S2721HGF-Gaming-PC-Bildschirm-gebogen-FreeSync/dp/B08FRJBSHQ/ref=sr_1_8?dchild=1&keywords=monitors&qid=1625656199&s=computers&sr=1-8,4.7 / 5,216.00 ,106,Monitor
8,"HP M22f Monitor (22 Zoll Display, Full HD IPS, 75 Hz, AMD FreeSync, VGA, HDMI 1.4, 5 ms Reaktionszeit, HP Low-blue-light) silber",https://www.amazon.com/HP-Monitor-FreeSync-Reaktionszeit-Low-blue-light/dp/B094CRCF6W/ref=sr_1_9?dchild=1&keywords=monitors&qid=1625656199&s=computers&sr=1-9,4.6 / 5,139.00 ,4.547,Monitor
9,"Samsung C24F396FHR 60,9 cm (24 Zoll) Curved Monitor, schwarz",https://www.amazon.com/Samsung-C24F396FHR-Curved-Monitor-schwarz/dp/B08WJG41B4/ref=sr_1_10?dchild=1&keywords=monitors&qid=1625656199&s=computers&sr=1-10,4.6 / 5,141.89 ,16.221,Monitor
