,Unnamed: 0,product title,url,rating,price €,review_count,product
0,0,"Hollyland Lark 150 Lavalier Funkmikrofon mit Ladekoffer 2,4GHz Kabellos Ansteckmikrofon System Wireless Microphone 2 Transmitter 1 Empfänger bis zu 100m Audioüberwachung für Kamera Smartphone DSLR",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_electronics_sr_pg1_1?ie=UTF8&adId=A033422836EF4LIDX2VIK&url=%2FLark-150-Ansteckmikrofonen-Nutzungsdauer-DSLR-Kameras%2Fdp%2FB08PKG16X8%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3DDSLR%26qid%3D1625668798%26s%3Dce-de%26sr%3D1-1-spons%26psc%3D1&qualifier=1625668798&id=3677107417032624&widgetName=sp_atf,4.7 / 5,284.00 ,23.0,DSLR_Camera
1,1,"Omegon Fotomontierung Mini Track LX3 N - Reisemontierung stromlose Nachführung für die Astrofotografie, Panorama und Timelapse Fotografie mit DSLR",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_electronics_sr_pg1_1?ie=UTF8&adId=A0195322JDSP9WFISFHX&url=%2FOmegon-Montierung-Mini-Track-LX3%2Fdp%2FB07QMBQSPJ%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3DDSLR%26qid%3D1625668798%26s%3Dce-de%26sr%3D1-2-spons%26psc%3D1%26smid%3DA2QGSSHY6RX5FN&qualifier=1625668798&id=3677107417032624&widgetName=sp_atf,4.5 / 5,194.00 ,211.0,DSLR_Camera
2,2,Canon EOS 4000D DSLR Camera and EF-S 18-55 mm f/3.5-5.6 III Lens - Black GB,https://www.amazon.com/Canon-4000D-Camera-18-55-3-5-5-6/dp/B07B199LGK/ref=sr_1_3?dchild=1&keywords=DSLR&qid=1625668798&s=ce-de&sr=1-3,4.7 / 5,438.00 ,1.637,DSLR_Camera
3,3,"Canon EOS 2000D Spiegelreflexkamera - mit Objektiv EF-S 18-55 F3.5-5.6 III (24,1 MP, DIGIC 4+, 7,5 cm (3.0 Zoll) LCD, Display, Full-HD, WIFI, APS-C CMOS-Sensor), schwarz",https://www.amazon.com/Canon-Camera-2000D-18-55-2728C002/dp/B07BMV268V/ref=sr_1_4?dchild=1&keywords=DSLR&qid=1625668798&s=ce-de&sr=1-4,4.7 / 5,417.60 ,1.284,DSLR_Camera
4,4,"Canon EOS 850D DSLR Digitalkamera Gehäuse - mit Objektiv EF-S 18-55mm F4-5.6 IS STM (24,1 MP, 7,5 cm (3 Zoll) Display, APS-C Sensor, 45 AF-Kreuzsensoren, 4K, DIGIC 8, WLAN, Bluetooth) schwarz",https://www.amazon.com/Canon-850D-DSLR-Digitalkamera-Geh%C3%A4use/dp/B084S5CW7Y/ref=sr_1_5?dchild=1&keywords=DSLR&qid=1625668798&s=ce-de&sr=1-5,4.7 / 5,849.00 ,28.0,DSLR_Camera
5,5,"Nikon D5600 Digital SLR im DX Format mit AF-P DX 18-55mm VR (24,2 MP, 3,2 Zoll/8,1 cm dreh- und neigbarer Touch-Monitor, SnapBridge, AF mit 3D-Tracking, Full-HD Video incl. Zeitraffer)",https://www.amazon.com/Nikon-D5600-AF-P-18-55-Spiegelreflexkamera/dp/B01MQGO8V6/ref=sr_1_6?dchild=1&keywords=DSLR&qid=1625668798&s=ce-de&sr=1-6,4.8 / 5,613.01 ,604.0,DSLR_Camera
6,6,"Canon EOS 2000D DSLR Camera and EF-S 18-55 mm f/3.5-5.6 is II Lens, Black",https://www.amazon.com/Canon-2000D-Camera-18-55-3-5-5-6/dp/B07B1B265L/ref=sr_1_7?dchild=1&keywords=DSLR&qid=1625668798&s=ce-de&sr=1-7,4.7 / 5,499.00 ,564.0,DSLR_Camera
7,7,"Canon EOS 250D Digitalkamera - mit Objektiv EF-S 18-55mm F4-5.6 IS STM (24, 1 Megapixel, 7, 7 cm (3 Zoll) Vari-Angle Display, APS-C-Sensor, 4K, Full-HD, DIGIC 8, WLAN, Bluetooth), schwarz",https://www.amazon.com/Canon-Digitalkamera-Megapixel-Vari-Angle-APS-C-Sensor/dp/B07QJ21YQ6/ref=sr_1_8?dchild=1&keywords=DSLR&qid=1625668798&s=ce-de&sr=1-8,4.8 / 5,619.00 ,299.0,DSLR_Camera
8,8,"Canon EOS M50 spiegellos Systemkamera (24,1 MP, dreh-und schwenkbares 7,5cm (3 Zoll) Touchscreen-LCD, Digic 8, 4K Video, OLED EVF, WLAN, Bluetooth) mit Objektiv EF-M 15-45mm IS STM, weiß/silber",https://www.amazon.com/Canon-EOS-wei%C3%9F-EF-M-15-45/dp/B07B33NSFK/ref=sr_1_9?dchild=1&keywords=DSLR&qid=1625668798&s=ce-de&sr=1-9,4.6 / 5,585.52 ,92.0,DSLR_Camera
9,10,"Pivo Tripod - 160 cm/5'3"" ausziehbares Aluminium Kamerastativ mit Universal 1/4"" Gewinde Belastbarkeit bis zu 3 kg/6.6 lb 3 Level Option 800 g/1.78 lb für DSLR Action Cam Official Accessory",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_electronics_sr_pg1_1?ie=UTF8&adId=A09323843O3OUMUBJ3ZNP&url=%2FPivo-Tripod-ausziehbares-Kamerastativ-Belastbarkeit%2Fdp%2FB08C2BLNH4%2Fref%3Dsr_1_11_sspa%3Fdchild%3D1%26keywords%3DDSLR%26qid%3D1625668798%26s%3Dce-de%26sr%3D1-11-spons%26psc%3D1&qualifier=1625668798&id=3677107417032624&widgetName=sp_mtf,4.7 / 5,79.00 ,241.0,DSLR_Camera
10,11,"Canon EOS 2000D Spiegelreflexkamera - mit Objektiv EF-S 18-55 F3.5-5.6 IS II (24,1 MP, DIGIC 4+, 7,5 cm (3.0 Zoll) LCD, Display, Full-HD, WIFI, APS-C CMOS-Sensor), schwarz",https://www.amazon.com/Canon-2000D-Spiegelreflexkamera-Objektiv-18-55/dp/B07B322GL5/ref=sr_1_12?dchild=1&keywords=DSLR&qid=1625668798&s=ce-de&sr=1-12,4.7 / 5,429.00 ,1.284,DSLR_Camera
11,12,"Canon EOS M50 Systemkamera spiegellos - mit Objektiv EF-M 15-45mm IS STM (24,1 MP, dreh- und schwenkbares 7,5 cm (3 Zoll) Touchscreen LC-Display, Digic 8, 4K Video, OLED EVF, WLAN, Bluetooth), schwarz",https://www.amazon.com/Canon-EOS-schwarz-EF-M-15-45/dp/B07B37N1LJ/ref=sr_1_13?dchild=1&keywords=DSLR&qid=1625668798&s=ce-de&sr=1-13,4.8 / 5,609.00 ,266.0,DSLR_Camera
12,13,"Canon EOS 850D DSLR Digitalkamera Gehäuse - mit Objektiv EF-S 18-135mm F3.5-5.6 IS USM (24,1 MP, 7,5 cm (3 Zoll) Display, APS-C Sensor, 45 AF-Kreuzsensoren, 4K, DIGIC 8, WLAN, Bluetooth) schwarz",https://www.amazon.com/Canon-850D-DSLR-Digitalkamera-Geh%C3%A4use/dp/B084S54KWR/ref=sr_1_14?dchild=1&keywords=DSLR&qid=1625668798&s=ce-de&sr=1-14,4.8 / 5,1.149.00 ,10.0,DSLR_Camera
13,14,"Panasonic Lumix DC-FZ82 Bridgekamera (18 Megapixel, 20 mm Weitwinkel, 60x opt. Zoom, 4K30p Videoaufname, Hybrid Kontrast AF) schwarz",https://www.amazon.com/Panasonic-DC-FZ82EG-K-Bridgekamera-Weitwinkel-Videoaufname/dp/B01NARXQ2E/ref=sr_1_15?dchild=1&keywords=DSLR&qid=1625668798&s=ce-de&sr=1-15,4.5 / 5,290.65 ,1.748,DSLR_Camera
14,15,"Neewer 3er Pack fortgeschritten 2,4G 660 LED Beleuchtungsset dimmbares Bi Farbe LED Feld mit LCD Bildschirm 2.4G Funkfernbedienung und Lichtstativ für Produktfotografie",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_electronics_sr_pg1_1?ie=UTF8&adId=A1042732K8QVJAQCKR3W&url=%2FNeewer-fortgeschritten-Beleuchtungsset-Funkfernbedienung-Produktfotografie%2Fdp%2FB07X1S3VWV%2Fref%3Dsr_1_16_sspa%3Fdchild%3D1%26keywords%3DDSLR%26qid%3D1625668798%26s%3Dce-de%26sr%3D1-16-spons%26psc%3D1%26smid%3DA1QES8UG50BJBL&qualifier=1625668798&id=3677107417032624&widgetName=sp_mtf,4.4 / 5,337.99 ,57.0,DSLR_Camera
15,16,FEELWORLD F5 Pro 5.5 Inch Field Monitor 4K 1920x1080 DSLR HDMI Touch Scree Camera IPS FHD Video Assist 5V Type-C Input Include Tilt Arm (F5 Pro 5'' with Battery),https://www.amazon.com/FEELWORLD-Monitor-1920x1080-Include-Battery/dp/B08CCV3MQR/ref=sr_1_17?dchild=1&keywords=DSLR&qid=1625668798&s=ce-de&sr=1-17,3.7 / 5,159.00 ,12.0,DSLR_Camera
16,17,Feelworld FW759 7 Zoll Kamera DSLR Field Monitor Camera Full HD Focus Video Assist 1280x800 IPS mit 4K HDMI Input Output,https://www.amazon.com/Feelworld-Kamera-Monitor-Camera-1280x800/dp/B07LFWMY1P/ref=sr_1_18?dchild=1&keywords=DSLR&qid=1625668798&s=ce-de&sr=1-18,4.4 / 5,99.99 ,187.0,DSLR_Camera
