,title,url,rating,price,review_count,product
0,Puro BT2200 (Lime Green),https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_electronics_sr_pg1_1?ie=UTF8&adId=A05301761ZIYMA959N190&url=%2FPuro-Sound-Labs-43191609-BT2200-Lime-Green%2Fdp%2FB08G74P3W9%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Dheadphones%26qid%3D1625672544%26s%3Dce-de%26sr%3D1-1-spons%26psc%3D1&qualifier=1625672544&id=7359733408685323&widgetName=sp_atf,4.3 / 5,94.99 ,28.0,Headphones
1,Puro BT2200 (Magenta),https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_electronics_sr_pg1_1?ie=UTF8&adId=A05302763C6DEAM1800UM&url=%2FPuro-Sound-Labs-BT2200-Magenta%2Fdp%2FB08G7BJMCK%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3Dheadphones%26qid%3D1625672544%26s%3Dce-de%26sr%3D1-2-spons%26psc%3D1&qualifier=1625672544&id=7359733408685323&widgetName=sp_atf,4.6 / 5,94.99 ,81.0,Headphones
2,"Sony MDR-ZX110 faltbarer Bügelkopfhörer, schwarz",https://www.amazon.com/Sony-MDR-ZX110-faltbarer-B%C3%BCgelkopfh%C3%B6rer-schwarz/dp/B00NBR70DO/ref=sr_1_3?dchild=1&keywords=headphones&qid=1625672544&s=ce-de&sr=1-3,4.5 / 5,11.45 ,21.7,Headphones
3,"Sony WH-CH710N kabellose Bluetooth Noise Cancelling Kopfhörer (bis zu 35 Stunden Akkulaufzeit, Around-Ear-Style, Freisprecheinrichtung, Headset mit Mikrofon, wireless) Schwarz",https://www.amazon.com/Sony-Cancelling-Akkulaufzeit-Around-Ear-Style-Freisprecheinrichtung-Schwarz/dp/B086LLYK4S/ref=sr_1_4?dchild=1&keywords=headphones&qid=1625672544&s=ce-de&sr=1-4,4.4 / 5,89.99 ,10.8,Headphones
4,"JBL Tune500BT On-Ear Bluetooth-Kopfhörer in Schwarz – Faltbarer, kabelloser Ohrhörer mit integriertem Headset – Musik Streaming bis zu 16 Stunden mit nur einer Akku-Ladung",https://www.amazon.com/JBL-Tune500BT-Ear-Bluetooth-Kopfh%C3%B6rer-Schwarz/dp/B07HGG85HL/ref=sr_1_5?dchild=1&keywords=headphones&qid=1625672544&s=ce-de&sr=1-5,4.6 / 5,29.99 ,19.9,Headphones
5,"JBL Pure Bass Sound Technologie: Die kompakten Ohrhörer enthalten je einen 9 mm-Lautsprecher, der einen tiefen und kraftvollen Bass erzeugt - für Musikerlebnisse wie auf Konzerten!",https://www.amazon.com/JBL-Ear-Kopfh%C3%B6rer-Steuerung-Mikrofon-schwarz/dp/B01MG62Z5M/ref=sr_1_6?dchild=1&keywords=headphones&qid=1625672544&s=ce-de&sr=1-6,4.3 / 5,9.49 ,31.2,Headphones
6,"OneOdio Over Ear Kopfhörer mit Kabel, 50mm Treiber, Bassklang, 6.35 & 3.5mm Klinke, Share-Port, Geschlossene Studio Headphones für DJ, Podcast, Monitor, Handy, PC, MP3/4 (Pro-10 Blau)",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_electronics_sr_pg1_1?ie=UTF8&adId=A0734596FZZXG88RHAGB&url=%2FOneOdio-Kopfh%25C3%25B6rer-Share-Port-Geschlossene-Headphones-Dunkel-Blau%2Fdp%2FB08CXKNK2P%2Fref%3Dsr_1_7_sspa%3Fdchild%3D1%26keywords%3Dheadphones%26qid%3D1625672544%26s%3Dce-de%26sr%3D1-7-spons%26psc%3D1&qualifier=1625672544&id=7359733408685323&widgetName=sp_mtf,4.4 / 5,33.99 ,26.0,Headphones
7,"Sony WH-CH510 kabellose Bluetooth Kopfhörer (kraftvoller Klang, eingebauter Sprachassistent, Quick Charge, bis zu 35 Stunden Akkulaufzeit, wireless) Schwarz",https://www.amazon.com/Sony-kraftvoller-eingebauter-Sprachassistent-Akkulaufzeit-Schwarz/dp/B07WD58H6R/ref=sr_1_8?dchild=1&keywords=headphones&qid=1625672544&s=ce-de&sr=1-8,4.5 / 5,26.99 ,4.4,Headphones
8,"Sony WH-CH510 kabellose Bluetooth Kopfhörer (kraftvoller Klang, eingebauter Sprachassistent, Quick Charge, bis zu 35 Stunden Akkulaufzeit, wireless) Blau",https://www.amazon.com/Sony-kraftvoller-eingebauter-Sprachassistent-Akkulaufzeit-Blau/dp/B07WD5978Q/ref=sr_1_9?dchild=1&keywords=headphones&qid=1625672544&s=ce-de&sr=1-9,4.5 / 5,29.99 ,4.4,Headphones
9,"DOQAUS Bluetooth Kopfhörer Over Ear, [Bis zu 52 Std] Kabellose Kopfhörer mit 3 EQ-Modi, HiFi Stereo Faltbare Headset mit Mikrofon, weiche Ohrpolster für iPhone/ipad/Android/Laptops (Asphaltgrau)",https://www.amazon.com/DOQAUS-Bluetooth-Kopfh%C3%B6rer-Ohrpolster-Asphaltgrau/dp/B07T9KJMCG/ref=sr_1_10?dchild=1&keywords=headphones&qid=1625672544&s=ce-de&sr=1-10,4.5 / 5,29.74 ,9.6,Headphones
