,product title,url,rating,price €,review_count,product
0,"J JOYACCESS Wireless Keyboard with Mouse, Keyboard Mouse Set Wireless with 500 mAh Rechargeable Battery, 2.4G Wireless Slim Keyboard with Numeric Keypad Ergonomic Quiet Mouse for PC / Laptop – Black Grey",https://www.amazon.com/-/en/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_computers_sr_pg1_1?ie=UTF8&adId=A0890415VVR9BXQ485T&url=%2FJOYACCESS-Wireless-Keyboard-Rechargeable-Ergonomic%2Fdp%2FB07R7VYF71%2Fref%3Dsr_1_1_sspa%3Fcrid%3DH16NJZ6SFTOT%26dchild%3D1%26keywords%3Dkeyboard%2Bpc%26qid%3D1625653673%26s%3Dcomputers%26sprefix%3Dkeyboard%252Caps%252C222%26sr%3D1-1-spons%26psc%3D1&qualifier=1625653673&id=3547315075290072&widgetName=sp_atf,4.2 / 5,37.99,462,Keyboards
1,"Logitech K835 Wired Mechanical TKL aluminum keyboard - Tenkeyless PC keyboard with compact and comfortable design, Linear Switches, German QWERTY layout - Gray",https://www.amazon.com/-/en/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_computers_sr_pg1_1?ie=UTF8&adId=A0762022WBV5I7AH96T0&url=%2FLogitech-Wired-Mechanical-aluminum-keyboard%2Fdp%2FB07W7N2FY4%2Fref%3Dsr_1_2_sspa%3Fcrid%3DH16NJZ6SFTOT%26dchild%3D1%26keywords%3Dkeyboard%2Bpc%26qid%3D1625653673%26s%3Dcomputers%26sprefix%3Dkeyboard%252Caps%252C222%26sr%3D1-2-spons%26psc%3D1&qualifier=1625653673&id=3547315075290072&widgetName=sp_atf,4.6 / 5,57.99,861,Keyboards
2,"PONVIT Keyboard Mouse Set Wireless 2.4G Wireless Wireless Mouse and Wireless Keyboard, Quiet Click and Adjustable DPI, German Layout for PC Laptop Desktop Notebook Windows ME/XP/7/8/10 Mac (Black)",https://www.amazon.com/-/en/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_computers_sr_pg1_1?ie=UTF8&adId=A09924652LQ8RCE5CT5KL&url=%2FKeyboard-Wireless-Adjustable-Desktop-Notebook%2Fdp%2FB096V7MDYG%2Fref%3Dsr_1_3_sspa%3Fcrid%3DH16NJZ6SFTOT%26dchild%3D1%26keywords%3Dkeyboard%2Bpc%26qid%3D1625653673%26s%3Dcomputers%26sprefix%3Dkeyboard%252Caps%252C222%26sr%3D1-3-spons%26psc%3D1&qualifier=1625653673&id=3547315075290072&widgetName=sp_atf,4.6 / 5,22.99,3,Keyboards
3,Microsoft Wired Keyboard 600 - German - black (Standard Packaging),https://www.amazon.com/-/en/Microsoft-Wired-Keyboard-600-Packaging/dp/B001NP7LN0/ref=sr_1_4?crid=H16NJZ6SFTOT&dchild=1&keywords=keyboard+pc&qid=1625653673&s=computers&sprefix=keyboard%2Caps%2C222&sr=1-4,4.6 / 5,8.99,1.631,Keyboards
4,"Logitech K280e Pro Wired Business Keyboard for Windows, Linux, and Chrome, USB port, palm rest, splashproof, PC / laptop, German QWERTY layout - Black",https://www.amazon.com/-/en/Logitech-Business-Keyboard-Windows-splashproof/dp/B077BT728N/ref=sr_1_5?crid=H16NJZ6SFTOT&dchild=1&keywords=keyboard+pc&qid=1625653673&s=computers&sprefix=keyboard%2Caps%2C222&sr=1-5,4.5 / 5,23.79,4.869,Keyboards
6,"Logitech K835 Wired Mechanical TKL aluminum keyboard - Tenkeyless PC keyboard with compact and comfortable design, Linear Switches, German QWERTY layout - Gray",https://www.amazon.com/-/en/Logitech-Wired-Mechanical-aluminum-keyboard/dp/B07W7N2FY4/ref=sr_1_7?crid=H16NJZ6SFTOT&dchild=1&keywords=keyboard+pc&qid=1625653673&s=computers&sprefix=keyboard%2Caps%2C222&sr=1-7,4.6 / 5,57.99,861,Keyboards
7,"CHERRY KC 6000 Slim USB QWERTZ German Black - Keyboards (Standard, Wired, USB, QWERTZ, Black)",https://www.amazon.com/-/en/CHERRY-6000-QWERTZ-German-Black/dp/B07CWVV6DB/ref=sr_1_8?crid=H16NJZ6SFTOT&dchild=1&keywords=keyboard+pc&qid=1625653673&s=computers&sprefix=keyboard%2Caps%2C222&sr=1-8,4.5 / 5,31.99,924,Keyboards
8,"Logitech MX Keys Wireless Keyboard, Bluetooth & USB Receiver, USB-C Connection, 5-Month Battery Time, Easy Switch Feature, Button Lighting, PC / Mac, German Qwertz Layout - Black",https://www.amazon.com/-/en/Logitech-Wireless-Keyboard-Bluetooth-Connection/dp/B07W7KRXDW/ref=sr_1_9?crid=H16NJZ6SFTOT&dchild=1&keywords=keyboard+pc&qid=1625653673&s=computers&sprefix=keyboard%2Caps%2C222&sr=1-9,4.8 / 5,79.95,4.336,Keyboards
9,"EZONTEQ Ergonomic Gaming Keyboard RGB LED Lighting Waterproof Keycaps Design QWERTZ German Layout for Business, Gaming",https://www.amazon.com/-/en/Ergonomic-Keyboard-Lighting-Waterproof-Business/dp/B07VQFB135/ref=sr_1_10?crid=H16NJZ6SFTOT&dchild=1&keywords=keyboard+pc&qid=1625653673&s=computers&sprefix=keyboard%2Caps%2C222&sr=1-10,4.5 / 5,32.99,715,Keyboards
10,"Rii RK907 Keyboard USB, Wired Keyboard PC, Business Slim Keyboard with Cable for Mac/PC/Tablet/Windows/Android/Microsoft, QWERTZ German Layout",https://www.amazon.com/-/en/Keyboard-Business-Windows-Android-Microsoft/dp/B07VK1P4C9/ref=sr_1_11?crid=H16NJZ6SFTOT&dchild=1&keywords=keyboard+pc&qid=1625653673&s=computers&sprefix=keyboard%2Caps%2C222&sr=1-11,4.0 / 5,11.89,802,Keyboards
11,"Mechanical Gaming Keyboard with 20 RGB Modes Lighting, Wired Keyboard 100% Anti-Ghosting Keyboard with Blue Switches, Keycap Semi Submers Design for Windows PC/Mac Gamer",https://www.amazon.com/-/en/Mechanical-Keyboard-Lighting-Anti-Ghosting-Switches/dp/B08SWF16WM/ref=sr_1_12?crid=H16NJZ6SFTOT&dchild=1&keywords=keyboard+pc&qid=1625653673&s=computers&sprefix=keyboard%2Caps%2C222&sr=1-12,4.3 / 5,35.15,78,Keyboards
12,"WisFox Keyboard Mouse Set Wireless 2.4 GHz Full Size Quiet Wireless Keyboard with Mouse Set with 12 Key Controls, Computer Keyboard Mouse Set for Windows / Laptop / PC, QWERTZ DE Layout",https://www.amazon.com/-/en/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_computers_sr_pg1_1?ie=UTF8&adId=A0721011BU55RRMREOBN&url=%2FKeyboard-Wireless-Controls-Computer-Windows%2Fdp%2FB08P3BVXZF%2Fref%3Dsr_1_13_sspa%3Fcrid%3DH16NJZ6SFTOT%26dchild%3D1%26keywords%3Dkeyboard%2Bpc%26qid%3D1625653673%26s%3Dcomputers%26sprefix%3Dkeyboard%252Caps%252C222%26sr%3D1-13-spons%26psc%3D1&qualifier=1625653673&id=3547315075290072&widgetName=sp_mtf,4.5 / 5,20.39,7,Keyboards
13,"WisFox Wireless Keyboard Mouse 2.4GHz Ultra Thin Advanced Keyboard Mouse Wireless Combo Full Size with USB Nano Receiver for Laptop, PC, QWERTZ German (Black)",https://www.amazon.com/-/en/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_computers_sr_pg1_1?ie=UTF8&adId=A0329787FIPBUQI2SEGU&url=%2FWisFox-Wireless-Keyboard-Advanced-Receiver%2Fdp%2FB07XF3RKMT%2Fref%3Dsr_1_14_sspa%3Fcrid%3DH16NJZ6SFTOT%26dchild%3D1%26keywords%3Dkeyboard%2Bpc%26qid%3D1625653673%26s%3Dcomputers%26sprefix%3Dkeyboard%252Caps%252C222%26sr%3D1-14-spons%26psc%3D1&qualifier=1625653673&id=3547315075290072&widgetName=sp_mtf,4.4 / 5,20.39,722,Keyboards
14,"Seenda Wireless Keyboard Illuminated with White LED Backlight, USB Wireless Keyboard QWERTZ Layout, Rechargeable Windows Keyboard for PC/Laptop/Tablet, Wireless Keyboard Grey",https://www.amazon.com/-/en/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_computers_sr_pg1_1?ie=UTF8&adId=A07165032TPKT2QIL89NU&url=%2FWireless-Keyboard-Illuminated-Backlight-Rechargeable%2Fdp%2FB095WJYFZ9%2Fref%3Dsr_1_15_sspa%3Fcrid%3DH16NJZ6SFTOT%26dchild%3D1%26keywords%3Dkeyboard%2Bpc%26qid%3D1625653673%26s%3Dcomputers%26sprefix%3Dkeyboard%252Caps%252C222%26sr%3D1-15-spons%26psc%3D1&qualifier=1625653673&id=3547315075290072&widgetName=sp_mtf,5.0 / 5,35.99,1,Keyboards
15,Sharkoon Gaming Keyboard (German keyboard layout),https://www.amazon.com/-/en/Sharkoon-Gaming-Keyboard-German-keyboard/dp/B07FPGQ933/ref=sr_1_16?crid=H16NJZ6SFTOT&dchild=1&keywords=keyboard+pc&qid=1625653673&s=computers&sprefix=keyboard%2Caps%2C222&sr=1-16,4.5 / 5,29.87,10.089,Keyboards
16,Rii Mini Wireless Keyboard with Touchpad (I8+X8),https://www.amazon.com/-/en/Rii-Mini-Wireless-Keyboard-Touchpad/dp/B00W2YGJWK/ref=sr_1_17?crid=H16NJZ6SFTOT&dchild=1&keywords=keyboard+pc&qid=1625653673&s=computers&sprefix=keyboard%2Caps%2C222&sr=1-17,4.3 / 5,12.74,2.153,Keyboards
17,CHERRY TAS STREAM KEYBOARD Black German Layout,https://www.amazon.com/-/en/CHERRY-STREAM-KEYBOARD-German-Layout/dp/B07Y425Y2H/ref=sr_1_18?crid=H16NJZ6SFTOT&dchild=1&keywords=keyboard+pc&qid=1625653673&s=computers&sprefix=keyboard%2Caps%2C222&sr=1-18,4.4 / 5,20.99,555,Keyboards
18,"Energy Sistem Gaming Keyboard ESG K2 Ghosthunter Membrane Keyboard USB (LED Lighting, 19 Anti-Ghosting Keys) - Black",https://www.amazon.com/-/en/Gaming-Keyboard-ESG-Ghosthunter-Anti-Ghosting/dp/B08P5WWFBW/ref=sr_1_19?crid=H16NJZ6SFTOT&dchild=1&keywords=keyboard+pc&qid=1625653673&s=computers&sprefix=keyboard%2Caps%2C222&sr=1-19,3.8 / 5,19.90,44,Keyboards
19,Corsair K55 Gaming Keyboard [English Layout not Guaranteed],https://www.amazon.com/-/en/Corsair-Gaming-Keyboard-English-Guaranteed/dp/B08KH899QF/ref=sr_1_20?crid=H16NJZ6SFTOT&dchild=1&keywords=keyboard+pc&qid=1625653673&s=computers&sprefix=keyboard%2Caps%2C222&sr=1-20,4.5 / 5,119.00,454,Keyboards
20,"Logitech K400 Plus Touch Wireless Keyboard Black (QWERTZ, German Keyboard Layout)",https://www.amazon.com/-/en/Logitech-Wireless-Keyboard-QWERTZ-German/dp/B00VHHWNMI/ref=sr_1_21?crid=H16NJZ6SFTOT&dchild=1&keywords=keyboard+pc&qid=1625653673&s=computers&sprefix=keyboard%2Caps%2C222&sr=1-21,4.5 / 5,30.99,6.153,Keyboards
21,"iClever Bluetooth Keyboard, Wireless Rechargeable Keyboard with 3 Bluetooth Channels, Stable Connection, Ultraslim Ergonomic Design, Wireless Keyboard for iOS, Android, Windows",https://www.amazon.com/-/en/Bluetooth-Rechargeable-Connection-Ultraslim-Ergonomic/dp/B086GSBNY8/ref=sr_1_22?crid=H16NJZ6SFTOT&dchild=1&keywords=keyboard+pc&qid=1625653673&s=computers&sprefix=keyboard%2Caps%2C222&sr=1-22,4.4 / 5,28.89,1.804,Keyboards
22,"Razer Cynosa Lite - gaming keyboard with RGB chroma (membrane keys made for gaming, RGB chroma lighting, fully programmable - German layout)",https://www.amazon.com/-/en/Razer-Cynosa-Lite-keyboard-programmable/dp/B07YSZ6JK1/ref=sr_1_23?crid=H16NJZ6SFTOT&dchild=1&keywords=keyboard+pc&qid=1625653673&s=computers&sprefix=keyboard%2Caps%2C222&sr=1-23,4.6 / 5,33.12,4.969,Keyboards
