,product title,url,rating,price €,review_count,product
0,"Lenovo ThinkPad T440 Business Notebook, Intel i5 2 x 1.9 GHz Prozessor, 4 GB Arbeitsspeicher, 500 GB, 14 Zoll Display, 1366x768, Cam, Windows 10 Pro, 1H08 (Generalüberholt)",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_computers_sr_pg1_1?ie=UTF8&adId=A01405291AD5IG9QRBRTA&url=%2FLenovo-Notebook-Windows10-Zertifiziert-General%25C3%25BCberholt%2Fdp%2FB07413TRT5%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Dlaptops%26qid%3D1625649428%26s%3Dcomputers%26sr%3D1-1-spons%26psc%3D1%26smid%3DAQ5ELYRI4891Q&qualifier=1625649428&id=8681100268169949&widgetName=sp_atf,4.2 / 5,379.00 ,216,Laptops
1,"BMAX Y13 2 in 1 Laptop, 13.3 Zoll FHD Convertible Touchscreen Notebook, Windows 10, Intel Gemini Lake N4120 CPU, 8 GB LPDDR4-RAM, 256 GB SSD, Vollmetallgehäuse, USB-C, BT4.2, WiFi 2.4G/5.0G",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_computers_sr_pg1_1?ie=UTF8&adId=A02284113AZL2BNUGHL1&url=%2FBMAX-Y-Series-2-in-1-Laptop-Y13%2Fdp%2FB07XT5ZSJD%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3Dlaptops%26qid%3D1625649428%26s%3Dcomputers%26sr%3D1-2-spons%26psc%3D1&qualifier=1625649428&id=8681100268169949&widgetName=sp_atf,3.8 / 5,459.00 ,687,Laptops
2,"HUAWEI MateBook D 14 Zoll Laptop, FullView 1080p FullHD Ultrabook, Intel Core i5-10210U, 512GB NVMe PCIe SSD+16GB RAM, QWERTZ-Layout, Fingerabdrucksensor, versteckbare Kamera, Windows 10 Home, Grau",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_computers_sr_pg1_1?ie=UTF8&adId=A0578914MN4MRMPLEYSQ&url=%2FHUAWEI-Ultrabook-QWERTZ-Layout-Fingerabdrucksensor-versteckbare%2Fdp%2FB08ZDMX4DJ%2Fref%3Dsr_1_3_sspa%3Fdchild%3D1%26keywords%3Dlaptops%26qid%3D1625649428%26s%3Dcomputers%26sr%3D1-3-spons%26psc%3D1&qualifier=1625649428&id=8681100268169949&widgetName=sp_atf,4.7 / 5,699.90 ,496,Laptops
3,"Acer Chromebook Convertible 13 Zoll (CP513-1H) (ChromeOS, Laptop, FHD Touch-Display, Akkulaufzeit: Bis zu 14 Stunden, Tastatur beleuchtet, 1,3 Kg leicht, 15.55 mm dünn) Plus Chromebook",https://www.amazon.com/Acer-Chromebook-Convertible-Touch-Display-Akkulaufzeit/dp/B08R7LXKDY/ref=sr_1_4?dchild=1&keywords=laptops&qid=1625649428&s=computers&sr=1-4,4.7 / 5,415.95 ,32,Laptops
5,"Acer Chromebook 14 Zoll (CB314-1H-C7PS) (ChromeOS, Laptop, FHD Display, Akkulaufzeit: Bis zu 12,5 Stunden, 4 GB LPDDR4 RAM / 64 GB eMMC, 1,5 Kg leicht, 19,7 mm dünn)",https://www.amazon.com/Acer-Chromebook-CB314-1H-C7PS-ChromeOS-Akkulaufzeit/dp/B091ZGGPKR/ref=sr_1_6?dchild=1&keywords=laptops&qid=1625649428&s=computers&sr=1-6,4.4 / 5,249.99 ,1.702,Laptops
6,"HUAWEI MateBook D 15 Zoll Laptop, FullView 1080p FullHD Ultrabook, Intel Core i3-10110U, 256GB NVMe PCIe SSD+8GB RAM, QWERTZ-Layout, Fingerabdrucksensor, versteckbare Kamera, Windows 10 Home, Grau",https://www.amazon.com/HUAWEI-Ultrabook-QWERTZ-Layout-Fingerabdrucksensor-versteckbare/dp/B095C351TP/ref=sr_1_7?dchild=1&keywords=laptops&qid=1625649428&s=computers&sr=1-7,4.7 / 5,499.00 ,496,Laptops
7,"DELL Latitude E5470 Business Notebook, Intel i5 6.Gen 2 x 2.4 GHz Prozessor, 16 GB Arbeitsspeicher, 1000 GB SSD, 14.1 Zoll Display, Full HD, 1920x1080, Cam, Windows 10 Pro, 1920 (Generalüberholt)",https://www.amazon.com/Latitude-Prozessor-Arbeitsspeicher-1920x1080-General%C3%BCberholt/dp/B08NHTC9N3/ref=sr_1_8?dchild=1&keywords=laptops&qid=1625649428&s=computers&sr=1-8,4.5 / 5,745.00 ,114,Laptops
8,"ASUS Intel Quad SSD (17,3 Zoll HD++) Notebook (Intel® Pentium® Silver Quad N5030 mit 3.10 GHz, 8GB DDR4, 512 GB SSD, Intel HD Graphics 605, HDMI, Windows 10, MS Office) #6638",https://www.amazon.com/ASUS-Notebook-Pentium%C2%AE-Graphics-6638/dp/B096KNFDRY/ref=sr_1_9?dchild=1&keywords=laptops&qid=1625649428&s=computers&sr=1-9,4.3 / 5,444.00 ,1.564,Laptops
9,"Lenovo (15,6 Zoll) HD+ Notebook (Intel N4020 2x2.80 GHz, 8GB DDR4, 512 GB SSD, Intel UHD 600, HDMI, Webcam, Bluetooth, USB 3.0, WLAN, Windows 10 Prof. 64 Bit) #6723",https://www.amazon.com/Lenovo-Notebook-Bluetooth-Windows-6723/dp/B093PTFQQG/ref=sr_1_10?dchild=1&keywords=laptops&qid=1625649428&s=computers&sr=1-10,4.3 / 5,399.00 ,3.412,Laptops
10,"Lenovo IdeaPad 5 Laptop 35,6 cm (14 Zoll, 1920x1080, Full HD, WideView, entspiegelt) Slim Notebook (AMD Ryzen 5 5500U, 8GB RAM, 512GB SSD, AMD Radeon Grafik, Windows 10 Home) silber",https://www.amazon.com/Lenovo-1920x1080-WideView-entspiegelt-Notebook/dp/B08THR3S8G/ref=sr_1_11?dchild=1&keywords=laptops&qid=1625649428&s=computers&sr=1-11,4.6 / 5,699.00 ,300,Laptops
