,name,product_summary,product_tech_spec,product_addl_info,seller,seller_link,freq_bought,freq_bought_link,link_to_all_reviews
0,,,,,,,,,
1,,,,,,,,,
2,,,,,,,,,
3,,,,,,,,,
4,,,,,,,,,
5,,,,,,,,,
6,,,,,,,,,
7,,,,,,,,,
8,,,,,,,,,
9,,,,,,,,,
10,,,,,,,,,
11,,,,,,,,,
12,,,,,,,,,
13,,,,,,,,,
14,,,,,,,,,
15,,,,,,,,,
16,,,,,,,,,
17,,,,,,,,,
18,,,,,,,,,
19,,,,,,,,,
20,Amazon Basics Urban Backpack for Laptops up to 15-Inches - Green,"[{'info': 'Brand', 'value': '\u200eAmazon Basics'}, {'info': 'Item model number', 'value': '\u200eSP-13981-42544-MR'}, {'info': 'Item Weight', 'value': '\u200e1.95 pounds'}, {'info': 'Product Dimensions', 'value': '\u200e13.8 x 18.5 x 7 inches'}, {'info': 'Item Dimensions  LxWxH', 'value': '\u200e13.8 x 18.5 x 7 inches'}, {'info': 'Color', 'value': '\u200eArmy Green'}, {'info': 'Manufacturer', 'value': '\u200eAmazon Basics'}, {'info': 'ASIN', 'value': '\u200eB07QRZJRNH'}, {'info': 'Date First Available', 'value': '\u200eSeptember 3, 2019'}]","[{'info': 'Standing screen display size', 'value': '\u200e15 Inches'}]","[{'info': 'Customer Reviews', 'value': '/*\n* Fix for UDP-1061. Average customer reviews has a small extra line on hover\n* https://omni-grok.amazon.com/xref/src/appgroup/websiteTemplates/retail/SoftlinesDetailPageAssets/udp-intl-lock/src/legacy.css?indexName=WebsiteTemplates#40\n*/\n.noUnderline a:hover {\ntext-decoration: none;\n} 4.7 out of 5 stars 532 ratings P.when(\'A\', \'ready\').execute(function(A) {\nA.declarative(\'acrLink-click-metrics\', \'click\', { ""allowLinkDefault"" : true }, function(event){\nif(window.ue) {\nue.count(""acrLinkClickCount"", (ue.count(""acrLinkClickCount"") || 0) + 1);\n}\n});\n}); P.when(\'A\', \'cf\').execute(function(A) {\nA.declarative(\'acrStarsLink-click-metrics\', \'click\', { ""allowLinkDefault"" : true },  function(event){\nif(window.ue) {\nue.count(""acrStarsLinkWithPopoverClickCount"", (ue.count(""acrStarsLinkWithPopoverClickCount"") || 0) + 1);\n}\n});\n}); 4.7 out of 5 stars'}]",,,,,/AmazonBasics-Urban-Backpack-Laptops-15-Inches/product-reviews/B07QRZJRNH/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
21,,,,,,,,,
22,,,,,,,,,
23,,,,,,,,,
24,,,,,,,,,
25,,,,,,,,,
26,,,,,,,,,
27,,,,,,,,,
28,,,,,,,,,
29,,,,,,,,,
30,,,,,,,,,
31,,,,,,,,,
