,product title,url,rating,price €,review_count,product
0,"INPHIC Bluetooth Maus, Silent wiederaufladbare Maus kabellos 3-Modus (Bluetooth 5.0/4.0+2.4G), 1600 DPI Bluetooth Funkmaus Mouse Wireless für Mac, Laptop, Android Tablet, PC, silbern",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_computers_sr_pg1_1?ie=UTF8&adId=A0739350ORWXL6F6BTBS&url=%2FINPHIC-Bluetooth-wiederaufladbare-kabellos-Bluetooth-Funkmaus%2Fdp%2FB07PCQF1QH%2Fref%3Dsr_1_1_sspa%3Fcrid%3D1HAHDV24TKVYT%26dchild%3D1%26keywords%3Dmouse%2Bpc%26qid%3D1625658089%26s%3Dcomputers%26sprefix%3Dmouse%2Bpc%252Ccomputers%252C197%26sr%3D1-1-spons%26psc%3D1&qualifier=1625658089&id=628146928571282&widgetName=sp_atf,4.3 / 5,11.04 ,7.398,Mouse
1,QZVOO Kabellose Maus Kabellos Funkmaus Wireless Mouse PC Maus Computermaus (Red),https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_computers_sr_pg1_1?ie=UTF8&adId=A02877003B4OBPL4XDVNQ&url=%2FQZVOO-Funkm%25C3%25A4use-Computermaus-Nano-Receiver-schnurlose-Red%2Fdp%2FB08HQGSZJY%2Fref%3Dsr_1_2_sspa%3Fcrid%3D1HAHDV24TKVYT%26dchild%3D1%26keywords%3Dmouse%2Bpc%26qid%3D1625658089%26s%3Dcomputers%26sprefix%3Dmouse%2Bpc%252Ccomputers%252C197%26sr%3D1-2-spons%26psc%3D1&qualifier=1625658089&id=628146928571282&widgetName=sp_atf,4.2 / 5,8.99 ,837,Mouse
2,"Logitech M185 Kabellose Maus, 2.4 GHz Verbindung via Nano-USB-Empfänger, 1000 DPI Optischer Sensor, 12-Monate Akkulaufzeit, Für Links- und Rechtshänder, PC/Mac - Rot",https://www.amazon.com/Logitech-M185-Maus-schnurlos-rot/dp/B00544XFHC/ref=sr_1_3?crid=1HAHDV24TKVYT&dchild=1&keywords=mouse+pc&qid=1625658089&s=computers&sprefix=mouse+pc%2Ccomputers%2C197&sr=1-3,4.7 / 5,9.19 ,28.219,Mouse
3,"Logitech M185 Kabellose Maus, 2.4 GHz Verbindung via Nano-USB-Empfänger, 1000 DPI Optischer Sensor, 12-Monate Akkulaufzeit, Für Links- und Rechtshänder, PC/Mac - Grau",https://www.amazon.com/Logitech-M185-Maus-schnurlos-grau/dp/B0052EH8OA/ref=sr_1_4?crid=1HAHDV24TKVYT&dchild=1&keywords=mouse+pc&qid=1625658089&s=computers&sprefix=mouse+pc%2Ccomputers%2C197&sr=1-4,4.7 / 5,9.99 ,28.219,Mouse
4,"seenda Maus mit Kabel, PC Laptop Computer Maus mit RGB Beleuchtung, 1600 DPI USB Kabelgebundene Maus für Laptop/PC/Computer/Mac - Blau & Schwarz",https://www.amazon.com/seenda-Laptop-Computer-Beleuchtung-Kabelgebundene-WGSB-201DE-B/dp/B08T1M9JWV/ref=sr_1_5?crid=1HAHDV24TKVYT&dchild=1&keywords=mouse+pc&qid=1625658089&s=computers&sprefix=mouse+pc%2Ccomputers%2C197&sr=1-5,4.6 / 5,7.35 ,191,Mouse
5,"Logitech B100 Maus mit Kabel, USB-Anschluss, 800 DPI Optischer Sensor, 3 Tasten, Für Links- und Rechtshänder, PC/Mac/Chromebook - Schwarz",https://www.amazon.com/Logitech-B100-910-003357-Optical-Business-schwarz/dp/B00AZKNPZC/ref=sr_1_6?crid=1HAHDV24TKVYT&dchild=1&keywords=mouse+pc&qid=1625658089&s=computers&sprefix=mouse+pc%2Ccomputers%2C197&sr=1-6,4.6 / 5,4.99 ,6.653,Mouse
6,"Karrong Kabellos Maus Wiederaufladbar USB Funkmaus Leise klick Kabellose Mouse für Laptop PC Computer, Schwarz",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_computers_sr_pg1_1?ie=UTF8&adId=A0872461NIV7WW8HNM5L&url=%2FKabellose-Wiederaufladbar-Karrong-Empf%25C3%25A4nger-Microsoft%2Fdp%2FB07JW1JDCJ%2Fref%3Dsr_1_7_sspa%3Fcrid%3D1HAHDV24TKVYT%26dchild%3D1%26keywords%3Dmouse%2Bpc%26qid%3D1625658089%26s%3Dcomputers%26sprefix%3Dmouse%2Bpc%252Ccomputers%252C197%26sr%3D1-7-spons%26psc%3D1&qualifier=1625658089&id=628146928571282&widgetName=sp_mtf,4.4 / 5,9.99 ,1.229,Mouse
7,"Logitech M350 Pebble Kabellose Maus, Bluetooth und 2.4 GHz Verbindung via Nano USB-Empfänger, 18-Monate Akkulaufzeit, 3 Tasten, Leises Klicken und Scrollen, PC/Mac/iPadOS/Chromebook - Grün",https://www.amazon.com/Logitech-Kabellose-Verbindung-USB-Empf%C3%A4nger-Akkulaufzeit/dp/B07W7JYP91/ref=sr_1_8?crid=1HAHDV24TKVYT&dchild=1&keywords=mouse+pc&qid=1625658089&s=computers&sprefix=mouse+pc%2Ccomputers%2C197&sr=1-8,4.6 / 5,19.99 ,8.924,Mouse
9,"TECKNET Wired Maus Optical Business Mouse Verdrahtete Ergonomische Maus mit 6 Tasten, 2 Verstellbare DPI Level, USB-Kabel 140 cm",https://www.amazon.com/TeckNet-Verdrahtete-Ergonomische-Verstellbare-USB-Kabel/dp/B01BC3TYDM/ref=sr_1_10?crid=1HAHDV24TKVYT&dchild=1&keywords=mouse+pc&qid=1625658089&s=computers&sprefix=mouse+pc%2Ccomputers%2C197&sr=1-10,4.5 / 5,12.99 ,1.484,Mouse
10,"Logitech M705 Marathon Kabellose Maus, 2.4 GHz Verbindung via Unifying USB-Empfänger, 1000 DPI Laser-Sensor, 3-Jahre Akkulaufzeit, 7 Tasten, PC/Mac/Chromebook - Schwarz",https://www.amazon.com/Logitech-Marathon-M705-Jahren-Batterielebensdauer/dp/B003STDR1E/ref=sr_1_11?crid=1HAHDV24TKVYT&dchild=1&keywords=mouse+pc&qid=1625658089&s=computers&sprefix=mouse+pc%2Ccomputers%2C197&sr=1-11,4.6 / 5,28.72 ,13.872,Mouse
