,product title,url,rating,price €,review_count,product
0,"MINIS FORUM Mini PC, Intel Celeron Processor J4125 Quad-Core CPU 8 GB DDR4 / 128GB SSD Mini Desktop Computer mit Windows 10, HDMI- und DP Anschluss, Dual Band WiFi 2,4+5.8 G, BT 5.0, 4*USB 3.0",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_computers_sr_pg1_1?ie=UTF8&adId=A02931279CFIFV5Q4OUX&url=%2FCeleron-Processor-Quad-Core-Computer-Anschluss%2Fdp%2FB089CSVKV8%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Dprocessor%26qid%3D1625732262%26s%3Dcomputers%26sr%3D1-1-spons%26psc%3D1&qualifier=1625732262&id=687114661823926&widgetName=sp_atf,4.3 / 5,249.99 ,106,Processor
2,"AMD Ryzen 7 3700X Prozessor, 4GHz AM4 36MB Cache Wraith Prism",https://www.amazon.com/AMD-Ryzen-3700X-Prozessor-Wraith/dp/B07SXMZLPK/ref=sr_1_3?dchild=1&keywords=processor&qid=1625732262&s=computers&sr=1-3,4.8 / 5,262.70 ,20.484,Processor
4,INTEL BXTS15A Thermal Solution TS15A for Intel Core Processor Families with LGA 1151 Socket,https://www.amazon.com/BXTS15A-Solution-Intel-processor-families/dp/B01445KZKQ/ref=sr_1_5?dchild=1&keywords=processor&qid=1625732262&s=computers&sr=1-5,4.4 / 5,28.91 ,13,Processor
5,"AMD Ryzen 5 3600 4, 2GHz AM4 35MB Cache Wraith Stealth",https://www.amazon.com/AMD-Ryzen-3600-Wraith-Stealth/dp/B07STGGQ18/ref=sr_1_6?dchild=1&keywords=processor&qid=1625732262&s=computers&sr=1-6,4.8 / 5,209.99 ,33.386,Processor
6,"Jumper 14 Zoll Laptop 8GB DDR4 256GB SSD, Intel Quad Core Processor FHD IPS Slim Notebook Windows 10 , Dual-Band WiFi, USB3.0, Bluetooth, Unterstützung 256GB TF Karte Erweiterung",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_computers_sr_pg1_1?ie=UTF8&adId=A0380069TFZHGZ1NZ747&url=%2FWindows-Heim-Laptop-Speicher-Unterst%25C3%25BCtzt-tf-Karte%2Fdp%2FB0899TYX9C%2Fref%3Dsr_1_7_sspa%3Fdchild%3D1%26keywords%3Dprocessor%26qid%3D1625732262%26s%3Dcomputers%26sr%3D1-7-spons%26psc%3D1&qualifier=1625732262&id=687114661823926&widgetName=sp_mtf,4.1 / 5,320.99 ,205,Processor
7,"Intel BX80677I57400 CPU Core i5-7400 Processor 6M Cache, bis zu 3.50 GHz grau",https://www.amazon.com/Intel-BX80677I57400-i5-7400-Processor-Cache/dp/B01MSTDS3N/ref=sr_1_8?dchild=1&keywords=processor&qid=1625732262&s=computers&sr=1-8,4.6 / 5,193.45 ,26,Processor
9,seeed studio Odyssey X86 Mini PC Windows 10 Intel Quad Core Processor 8GB RAM with Wi-Fi 2.4G/5G Bluetooth 5 Dual Gigabit Ethernet Dual PCIe M.2 Suitable for NAS Internet Gateway（with 64GB eMMC）,https://www.amazon.com/seeed-studio-Processor-Bluetooth-Ethernet/dp/B086X42YR8/ref=sr_1_10?dchild=1&keywords=processor&qid=1625732262&s=computers&sr=1-10,4.4 / 5,249.00 ,61,Processor
10,Asus Prime H310-PLUS R2.0 LGA1151 for 9th 8th Gen Intel Core Pentium Gold and Celeron Processors,https://www.amazon.com/ASUS-H310-PLUS-R2-0-LGA1151-Processors/dp/B07RB8RYBT/ref=sr_1_11?dchild=1&keywords=processor&qid=1625732262&s=computers&sr=1-11,3.5 / 5,88.00 ,5,Processor
11,"Beelink GK55 Mini PC Intel Prozessor J4125 (bis zu 2,7 GHz) Windows 10 Pro, 8G LPDDR4/128G SSD, Business Mini Desktop Computer, 4K UHD, 2,4G/5G Dual WiFi, BT4.0, Dual HDMI Ports, Dual Gigabit Ethernet",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_computers_sr_pg1_1?ie=UTF8&adId=A01251173F10M21F21BYF&url=%2FBeelink-Windows-Refresh-Prozessor-Computer%2Fdp%2FB08K2S2524%2Fref%3Dsr_1_12_sspa%3Fdchild%3D1%26keywords%3Dprocessor%26qid%3D1625732262%26s%3Dcomputers%26sr%3D1-12-spons%26psc%3D1&qualifier=1625732262&id=687114661823926&widgetName=sp_mtf,3.8 / 5,289.00 ,12,Processor
12,"Intel® Core™ i5-11600K Desktop Prozessor 6 Kerne bis zu 4,9 GHz entsperrt LGA1200 (Intel® 500 Series & Select 400 Series Chipsatz) 125W",https://www.amazon.com/i5-11600K-Desktop-Prozessor-entsperrt-Chipsatz/dp/B08X67YZBL/ref=sr_1_13?dchild=1&keywords=processor&qid=1625732262&s=computers&sr=1-13,4.8 / 5,269.25 ,97,Processor
13,"Mini PC,Beelink U57 Windows 10 Desktop PC Intel Core i5-5257U Processor DDR3L 8GB /256GB SSD/Mini Computer/Dual HDMI Displa/Type C/4K PC/Support Expandable",https://www.amazon.com/Beelink-i3-5005U-Processor-Dissipation-Expansion/dp/B07SB2P75T/ref=sr_1_14?dchild=1&keywords=processor&qid=1625732262&s=computers&sr=1-14,4.3 / 5,379.00 ,117,Processor
14,"Dell Inspiron 17 7706 2n1, 17 Zoll QHD+ Touch, Intel® Core™ i7-1165G7 Processor, NVIDIA GeForce MX350, 16GB RAM, Intel Optane 32GB, 512GB SSD, Win10 Home",https://www.amazon.com/Dell-Inspiron-Intel%C2%AE-i7-1165G7-Processor-GeForce/dp/B08PDR7SNM/ref=sr_1_15?dchild=1&keywords=processor&qid=1625732262&s=computers&sr=1-15,3.3 / 5,1.249.00 ,2,Processor
15,"AMD YD2600BBAFBOX Prozessor RYZEN5 2600 Socket AM4 3.9Ghz Max Boost, 3,4Ghz Base+19MB",https://www.amazon.com/AMD-YD2600BBAFBOX-Prozessor-RYZEN5-Socket/dp/B07B41WS48/ref=sr_1_16?dchild=1&keywords=processor&qid=1625732262&s=computers&sr=1-16,4.8 / 5,163.04 ,20.420,Processor
16,"Windows Laptop, iProda 14"" Notebook Full HD 1080P, Intel Celeron Processor 5205U, 8G RAM, 256G SSD, 1.9 GHz, Windows 10.1 Pro, USB 3.0, WLAN, HDMI, BT, Ideales Laptop für Privatanwender, Studenten",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_computers_sr_pg1_1?ie=UTF8&adId=A026739732SKMJRUBW8M6&url=%2FiProda-Notebook-Processor-Privatanwender-Studenten%2Fdp%2FB08YRMKG8W%2Fref%3Dsr_1_17_sspa%3Fdchild%3D1%26keywords%3Dprocessor%26qid%3D1625732262%26s%3Dcomputers%26sr%3D1-17-spons%26psc%3D1&qualifier=1625732262&id=687114661823926&widgetName=sp_mtf,2.4 / 5,384.67 ,3,Processor
17,"Jumper 14 Zoll Laptop 8GB DDR4 256GB SSD, Intel Quad Core Processor FHD IPS Slim Notebook Windows 10 , Dual-Band WiFi, USB3.0, Bluetooth, Unterstützung 256GB TF Karte Erweiterung",https://www.amazon.com/Windows-Heim-Laptop-Speicher-Unterst%C3%BCtzt-tf-Karte/dp/B0899TYX9C/ref=sr_1_18?dchild=1&keywords=processor&qid=1625732262&s=computers&sr=1-18,4.1 / 5,320.99 ,205,Processor
18,Waveshare Raspberry Pi Pico Low-Cost High-Performance RP2040 Chip Microcontroller Board with Flexible Digital Interfaces Dual-core Cortex M0+ Processor Support C/C++/Python Development,https://www.amazon.com/Waveshare-Raspberry-Pico-High-Performance-Microcontroller/dp/B08TMK451T/ref=sr_1_19?dchild=1&keywords=processor&qid=1625732262&s=computers&sr=1-19,4.4 / 5,12.99 ,45,Processor
20,"Mini PC Beelink U55 Windows 10, Intel Core i3-5005U Processor DDR3 8GB /128GB SSD Support Expandable with Intel HD Graphics 5500 Dual HDMI Dual Display Type C",https://www.amazon.com/Beelink-i3-5005U-Processor-Expandable-Graphics/dp/B085QHVFB5/ref=sr_1_21?dchild=1&keywords=processor&qid=1625732262&s=computers&sr=1-21,4.6 / 5,269.00 ,6,Processor
22,"Intel Celeron G5905 3,5 GHz LGA1200 Boxed BX80701G5905 Prozessor",https://www.amazon.com/Intel-Celeron-LGA1200-BX80701G5905-Prozessor/dp/B08LBV3HY4/ref=sr_1_23?dchild=1&keywords=processor&qid=1625732262&s=computers&sr=1-23,4.9 / 5,47.28 ,22,Processor
23,"Intel Core i5-11600K 11. Generation Desktop Prozessor (Basistakt: 3.9GHz Tuboboost: 4.9GHz, 6 Kerne, LGA1200) BX8070811600K",https://www.amazon.com/Intel-i5-11600K-Generation-Prozessor-Basistakt/dp/B08TX3M96F/ref=sr_1_24?dchild=1&keywords=processor&qid=1625732262&s=computers&sr=1-24,4.6 / 5,260.03 ,37,Processor
24,"Tablet 10 Zoll, Dragon Touch Notepad K10 Tablet Pad Android 9.0 Pie Quad Core Processor 2GB RAM 32GB ROM 10.1 IPS HD Touch Screen Micro HDMI 5G WiFi",https://www.amazon.com/Dragon-Touch-Notepad-Android-Processor/dp/B088K45DF6/ref=sr_1_25?dchild=1&keywords=processor&qid=1625732262&s=computers&sr=1-25,4.3 / 5,89.99 ,309,Processor
25,"Tablet 10 Zoll, Android 10 Tablet-PC, 4GB RAM 64GB ROM Quad-core Processor, 1280×800FHD IPS, 5MP+8MP Kamera GPS WiFi Bluetooth 5,0 Typ-c TF-Karte Ganzmetall 8000mAh",https://www.amazon.com/Tablet-PC-Quad-core-Processor-1280%C3%97800FHD-Ganzmetall/dp/B095NNPKPJ/ref=sr_1_26?dchild=1&keywords=processor&qid=1625732262&s=computers&sr=1-26,4.3 / 5,119.99 ,14,Processor
26,MINISFORUM Mini PC Lüfterlos 8GB DDR4 256GB SSD Intel Pentium N5030 Processor (up to 3.1GHz) Mini Computer Windows 10 Pro 4X USB 3.0 Ports 2X RJ45 Digital Mic 4K HDMI 2.0/DP Dual Band WiFi BT 5.0,https://www.amazon.com/MINISFORUM-L%C3%BCfterlos-Pentium-Processor-Computer/dp/B092V38CD6/ref=sr_1_27?dchild=1&keywords=processor&qid=1625732262&s=computers&sr=1-27,4.3 / 5,349.99 ,18,Processor
27,AMD Ryzen 9 5900X Box,https://www.amazon.com/AMD-Ryzen-9-5900X-Box/dp/B08164VTWH/ref=sr_1_28?dchild=1&keywords=processor&qid=1625732262&s=computers&sr=1-28,4.6 / 5,538.88 ,8.000,Processor
28,"Tablet 10 Zoll, Android 10 Tablet-PC, 4GB RAM 64GB ROM Quad-core Processor, 1280×800FHD IPS, 5MP+8MP Kamera GPS WiFi Bluetooth 5,0 Typ-c TF-Karte Ganzmetall 8000mAh",https://www.amazon.com/Tablet-PC-Quad-core-Processor-1280%C3%97800FHD-Ganzmetall/dp/B095NNMFNT/ref=sr_1_29?dchild=1&keywords=processor&qid=1625732262&s=computers&sr=1-29,4.3 / 5,119.99 ,14,Processor
29,"AMD Ryzen 7 3800x 4,5GHz AM4 36MB Cache Wraith Prism",https://www.amazon.com/AMD-Ryzen-3800x-Cache-Wraith/dp/B07SXMZLPJ/ref=sr_1_30?dchild=1&keywords=processor&qid=1625732262&s=computers&sr=1-30,4.7 / 5,288.42 ,5.934,Processor
30,"Jumper Laptop 14 Inch 8GB RAM 256GB SSD, Intel Apollo Lake N3450 Quad Core Processor, FHD IPS Slim Notebook Windows 10 Notebook Support 256GB TF Card Extension, Dual Band WiFi, USB 3.0",https://www.amazon.com/-/en/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_computers_sr_pg2_1?ie=UTF8&adId=A0380069TFZHGZ1NZ747&url=%2FProcessor-Notebook-Windows-Support-Extension%2Fdp%2FB0899TYX9C%2Fref%3Dsr_1_25_sspa%3Fdchild%3D1%26keywords%3Dprozessor%26qid%3D1625732263%26s%3Dcomputers%26sr%3D1-25-spons%26psc%3D1&qualifier=1625732263&id=6319988372111689&widgetName=sp_atf_next,4.1 / 5,320.99,205,Processor
31,"Windows Laptop, iProda 14 Inch Notebook Full HD 1080P, Intel Celeron Processor 5205U, 8G RAM, 256G SSD, 1.9 GHz, Windows 10.1 Pro, USB 3.0, WiFi, HDMI, BT, Ideal Laptop for Home Users, Students",https://www.amazon.com/-/en/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_computers_sr_pg2_1?ie=UTF8&adId=A026739732SKMJRUBW8M6&url=%2FWindows-Notebook-Celeron-Processor-Students%2Fdp%2FB08YRMKG8W%2Fref%3Dsr_1_26_sspa%3Fdchild%3D1%26keywords%3Dprozessor%26qid%3D1625732263%26s%3Dcomputers%26sr%3D1-26-spons%26psc%3D1&qualifier=1625732263&id=6319988372111689&widgetName=sp_atf_next,2.4 / 5,384.67,3,Processor
32,AMD Ryzen 5 5600X Box Processor,https://www.amazon.com/-/en/AMD-Ryzen-5600X-Box-Processor/dp/B08166SLDF/ref=sr_1_27?dchild=1&keywords=prozessor&qid=1625732263&s=computers&sr=1-27,4.6 / 5,299.99,8.000,Processor
33,Acepc mini PC Windows 10 Pro desktop computer,https://www.amazon.com/-/en/Acepc-mini-Windows-desktop-computer/dp/B0899F2N5J/ref=sr_1_28?dchild=1&keywords=prozessor&qid=1625732263&s=computers&sr=1-28,4.3 / 5,203.99,769,Processor
34,Intel Core i7-10700K (base clock: 3.80 GHz; socket: LGA1200; 125 watt) box,https://www.amazon.com/-/en/Intel-Core-i7-10700K-base-clock/dp/B0883P8CNM/ref=sr_1_29?dchild=1&keywords=prozessor&qid=1625732263&s=computers&sr=1-29,4.9 / 5,309.87,169,Processor
