,name,product_summary,product_tech_spec,product_addl_info,seller,seller_link,freq_bought,freq_bought_link,link_to_all_reviews
0,,,,,,,,,
1,,,,,,,,,
2,"Rugged Smartphone, F150 Unlocked Phones 8000mAh Battery, Android 10 4G Global Dual-SIM IP68 Waterproof Rugged Phone, 5.86"" HD+ 6GB + 64GB Face/Fingerprint ID Quad Camera NFC, GPS (Yellow)",,,,,,,,
3,,,,,,,,,
4,,,,,,,,,
5,,,,,,,,,
6,,,,,,,,,
7,,,,,,,,,
8,,,,,,,,,
9,,,,,,,,,
10,,,,,,,,,
11,,,,,,,,,
12,,,,,,,,,
13,,,,,,,,,
14,,,,,,,,,
15,,,,,,,,,
16,,,,,,,,,
17,,,,,,,,,
18,"Find X2 Neo - Smartphone 256GB, 12GB RAM, Single Sim, Starry Blue",,,"[{'info': 'Product Dimensions', 'value': '6.28 x 2.85 x 0.3 inches'}, {'info': 'Item Weight', 'value': '1.1 pounds'}, {'info': 'ASIN', 'value': 'B08822Q7XB'}, {'info': 'Item model number', 'value': 'CPH2009'}, {'info': 'Batteries', 'value': '1 Lithium ion batteries required. (included)'}, {'info': 'Customer Reviews', 'value': '/*\n* Fix for UDP-1061. Average customer reviews has a small extra line on hover\n* https://omni-grok.amazon.com/xref/src/appgroup/websiteTemplates/retail/SoftlinesDetailPageAssets/udp-intl-lock/src/legacy.css?indexName=WebsiteTemplates#40\n*/\n.noUnderline a:hover {\ntext-decoration: none;\n} 4.6 out of 5 stars 205 ratings P.when(\'A\', \'ready\').execute(function(A) {\nA.declarative(\'acrLink-click-metrics\', \'click\', { ""allowLinkDefault"" : true }, function(event){\nif(window.ue) {\nue.count(""acrLinkClickCount"", (ue.count(""acrLinkClickCount"") || 0) + 1);\n}\n});\n}); P.when(\'A\', \'cf\').execute(function(A) {\nA.declarative(\'acrStarsLink-click-metrics\', \'click\', { ""allowLinkDefault"" : true },  function(event){\nif(window.ue) {\nue.count(""acrStarsLinkWithPopoverClickCount"", (ue.count(""acrStarsLinkWithPopoverClickCount"") || 0) + 1);\n}\n});\n}); 4.6 out of 5 stars'}, {'info': 'RAM', 'value': '12 GB'}, {'info': 'Other display features', 'value': 'Wireless'}, {'info': 'Device interface - primary', 'value': 'Touchscreen'}, {'info': 'Phone Standy Time (with data)', 'value': '360 hours'}, {'info': 'Manufacturer', 'value': 'HuaForCity'}, {'info': 'Date First Available', 'value': 'April 19, 2021'}]",,,,,
19,"Gigaset GS4 Smartphone - Made in Germany - leistungsstarker 4300mAh Akku mit Schnellladefunktion - 6,3 Zoll Full HD+ V-Notch Display - NFC - 4GB RAM+64GB interner Speicher - Android 10 - Deep Black",,,,,,,,
20,,,,,,,,,
21,,,,,,,,,
22,,,,,,,,,
23,,,,,,,,,
24,,,,,,,,,
25,,,,,,,,,
26,,,,,,,,,
27,,,,,,,,,
