,title,url,rating,review_count,price
0,"ORDRO 4K Camcorder Videokamera Mini IR Nachtsicht Kamera Full HD 1080P 60FPS 3,0 Zoll IPS Touchscreen YouTube Vlogging Camcorder für Anfänger",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A07729822Y0PS1TEKHRUW&url=%2FORDRO-Camcorder-Videokamera-Nachtsicht-Touchscreen%2Fdp%2FB08ZN3PS6L%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3DDSLR%2BCameras%26qid%3D1625570431%26sr%3D8-1-spons%26psc%3D1&qualifier=1625570431&id=1146272646347108&widgetName=sp_atf,"3,5 von 5 Sternen",42,"129,99 €"
1,Videokamera 4k Camcorder ORDRO UHD Nachtsicht Vlog Ghost Hunting Kamera Camcorder für YouTube Camcorder mit IR Light Handheld Halter Gegenlichtblende 32G SD-Karte und 2 Batterien,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A0081769K4DIB5K9M7ON&url=%2FVideokamera-Camcorder-ORDRO-Nachtsicht-Gegenlichtblende%2Fdp%2FB08SHPJQ5G%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3DDSLR%2BCameras%26qid%3D1625570431%26sr%3D8-2-spons%26psc%3D1&qualifier=1625570431&id=1146272646347108&widgetName=sp_atf,"4,2 von 5 Sternen",9,"235,99 €"
2,"Sony DSC-HX60 Digitalkamera (20,4 Megapixel, 30-fach opt. Zoom, 7,5 cm (3 Zoll) LCD-Display, Exmor R CMOS Sensor, NFC/WiFi) schwarz",https://www.amazon.com/Sony-DSC-HX60-Digitalkamera-Megapixel-LCD-Display/dp/B00I9X2KLW/ref=sr_1_3?dchild=1&keywords=DSLR+Cameras&qid=1625570431&sr=8-3,"4,4 von 5 Sternen",2.119,"218,95 €"
3,"Sony DSC-HX400V Digitalkamera (20.4 Megapixel, 50-fach opt. Zoom, 7,5 cm (3 Zoll), WiFi/NFC) schwarz",https://www.amazon.com/Sony-DSC-HX400V-Digitalkamera-Megapixel-50-fach/dp/B00I9X2KGM/ref=sr_1_4?dchild=1&keywords=DSLR+Cameras&qid=1625570431&sr=8-4,"4,4 von 5 Sternen",1.313,"359,99 €"
4,"Sony Alpha 7 III | Spiegellose Vollformat-Kamera ( Schneller 0,02s AF, optische 5-Achsen-Bildstabilisierung im Gehäuse, 4K HLG Videoaufnahmen, große Batteriekapazität)",https://www.amazon.com/Sony-Digitalkamera-Touch-Display-Vollformatsensor-Kartenslots/dp/B07B4L1PQ8/ref=sr_1_5?dchild=1&keywords=DSLR+Cameras&qid=1625570431&sr=8-5,"4,7 von 5 Sternen",856,"1.889,26 €"
5,"RaLeno Hochwertiges Handy Mikrofon mit Halterung, kompakt am Kameramikrofon, Kompatibel mit Smartphone, Sony, Canon und Nikon Kameras",https://www.amazon.com/Sto%C3%9Fd%C3%A4mpferhalterung-Deadcat-Windschutzscheibe-Android-Smartphones-Camcorder-Perfektes-Kameramikrofon/dp/B08FT37PJY/ref=sr_1_6?dchild=1&keywords=DSLR+Cameras&qid=1625570431&sr=8-6,"4,1 von 5 Sternen",364,"31,99 €"
6,"Panasonic Lumix DC-FZ82 Bridgekamera (18 Megapixel, 20 mm Weitwinkel, 60x opt. Zoom, 4K30p Videoaufname, Hybrid Kontrast AF) schwarz",https://www.amazon.com/Panasonic-DC-FZ82EG-K-Bridgekamera-Weitwinkel-Videoaufname/dp/B01NARXQ2E/ref=sr_1_7?dchild=1&keywords=DSLR+Cameras&qid=1625570431&sr=8-7,"4,5 von 5 Sternen",1.746,"299,99 €"
7,"SinFoxeon ACK-E6 Kamera AC Adapter Netzteil mit Akkuadapter LP-E6 Dummy Akku Blindbatterie für Canon EOS 5D Mark II III IV, 60D, 6D, 70D, 7D, 7D Mark II, 80D, 90D, 5DS, 5DR, R, R5,R6 Kameras",https://www.amazon.com/SinFoxeon-Adapter-Netzteil-Akkuadapter-Kameras-Schwarz/dp/B08P5JNV2P/ref=sr_1_8?dchild=1&keywords=DSLR+Cameras&qid=1625570431&sr=8-8,"4,8 von 5 Sternen",11,"21,99 €"
8,Bietrun Richtmikrofon Kamera Mikrofon inkl. Anti-Schock-Halterung Videomikrofon für Canon Nikon DSLR Kameras/Camcorder/Smartphones mit Windschutz/Handyhalter Nieren Kondensator Mikrofon zu Aufnahme,https://www.amazon.com/Bietrun-Richtmikrofon-Anti-Schock-Halterung-Videomikrofon-Smartphones/dp/B08GYJBD8P/ref=sr_1_9?dchild=1&keywords=DSLR+Cameras&qid=1625570431&sr=8-9,"4,1 von 5 Sternen",9,"24,95 €"
9,"MOSISO Kamera Schutztasche, Rucksack mit verstellbarem Strap und Aufbewahrungsfächern, Wasserresistente stoßfest Kameratasche Kompatibel DSLR/SLR/Mirrorless Cameras, Deep Teal",https://www.amazon.com/MOSISO-Schutztasche-verstellbarem-Aufbewahrungsf%C3%A4chern-Wasserresistente/dp/B07R8PQQMR/ref=sr_1_10?dchild=1&keywords=DSLR+Cameras&qid=1625570431&sr=8-10,"4,5 von 5 Sternen",340,"27,99 €"
