,title,url,rating,review_count,price
0,Puro BT2200 Lime Green,https://www.amazon.com/-/en/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A05301761ZIYMA959N190&url=%2F43191609-Puro-BT2200-Lime-Green%2Fdp%2FB08G74P3W9%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3DKopfh%25C3%25B6rer%26qid%3D1625650559%26sr%3D8-1-spons%26psc%3D1&qualifier=1625650559&id=920099546926055&widgetName=sp_atf,4.3 out of 5 stars,28,€94.99
1,"Noise Cancelling Headphones, OneOdio Bluetooth Headphones Over Ear, Headphones 40 Hours Playtime Microphone CVC 8.0 Type C Quick Charge Foldable for Smartphones iOS Android TV",https://www.amazon.com/-/en/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A08902692S9Z3ABDTBKSR&url=%2FCancelling-Headphones-Bluetooth-Microphone-Smartphones-Blue-black%2Fdp%2FB08D6DRBMC%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3DKopfh%25C3%25B6rer%26qid%3D1625650559%26sr%3D8-2-spons%26psc%3D1&qualifier=1625650559&id=920099546926055&widgetName=sp_atf,4.2 out of 5 stars,219,€46.74
2,"Soundcore Life P2 Bluetooth Headphones, Wireless Earbuds with CVC 8.0 Noise Isolation for a Crystal Clear Sound Profile, 40-hour Battery Life, IPX7 Water Protection Class, for Work and Travel",https://www.amazon.com/-/en/Soundcore-Bluetooth-Headphones-Isolation-Protection/dp/B07SJR6HL3/ref=sr_1_3?dchild=1&keywords=Kopfh%C3%B6rer&qid=1625650559&sr=8-3,4.3 out of 5 stars,"25,066",€45.99
3,"3.5 mm Magnetic In-Ear Headphones with Cable, Microphone and Volume Control for iPhone, iPod, iPad, MP3, Huawei, Samsung, Lightweight",https://www.amazon.com/-/en/Magnetic-Headphones-Microphone-Control-Lightweight/dp/B083J88QRS/ref=sr_1_4?dchild=1&keywords=Kopfh%C3%B6rer&qid=1625650559&sr=8-4,4.3 out of 5 stars,"4,665",€11.78
4,HolyHigh Bluetooth Headphones In-Ear Sport IPX7 Waterproof Wireless Headphones Sports Headphones Wireless Headphones with Premium Sound Profile/HD Microphone/36 Hours Playtime,https://www.amazon.com/-/en/HolyHigh-Bluetooth-Headphones-Waterproof-Microphone/dp/B08DG2ZPFM/ref=sr_1_5?dchild=1&keywords=Kopfh%C3%B6rer&qid=1625650559&sr=8-5,4.3 out of 5 stars,"5,039",€34.99
5,"Doqaus Bluetooth Over Ear Headphones, Wireless Headphones with 3 EQ Modes, HiFi Stereo Foldable Headset with Microphone &amp; Soft Ear Pads for iPhone / iPad / Android / Laptops, Up to 52 Hours of Playback",https://www.amazon.com/-/en/Bluetooth-Headphones-Wireless-Foldable-Microphone-Asphalt-grey/dp/B07T9KJMCG/ref=sr_1_6?dchild=1&keywords=Kopfh%C3%B6rer&qid=1625650559&sr=8-6,4.5 out of 5 stars,"9,567",€29.74
6,"OneOdio Over Ear Studio Headphones with Cable with 6.3 mm &amp; 3.5 mm Jack, Closed DJ Headphones with 50 mm Driver, Bass Sound",https://www.amazon.com/-/en/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A032947818PE3BSWGYEFX&url=%2FOneOdio-Studio-Headphones-Closed-Driver%2Fdp%2FB07HF4MY26%2Fref%3Dsr_1_7_sspa%3Fdchild%3D1%26keywords%3DKopfh%25C3%25B6rer%26qid%3D1625650559%26sr%3D8-7-spons%26psc%3D1&qualifier=1625650559&id=920099546926055&widgetName=sp_mtf,4.4 out of 5 stars,"26,032",€32.99
7,"Soundcore Life A1 In-Ear Bluetooth Headphones, Wireless Earbuds with Individual Sound, 35h Playback, Wireless Charging, USB-C Charging, IPX7 Water Protection, Button Control.",https://www.amazon.com/-/en/Soundcore-Bluetooth-Headphones-Individual-Protection-black/dp/B08KDZ2NZX/ref=sr_1_8?dchild=1&keywords=Kopfh%C3%B6rer&qid=1625650559&sr=8-8,4.5 out of 5 stars,"1,574",€38.99
8,JBL Tune500BT On-Ear Bluetooth Headphones in Black - Foldable Wireless Earbuds with Built-in Headset - Up to 16 Hours of Music Streaming on a Single Charge,https://www.amazon.com/-/en/Tune500BT-Bluetooth-Headphones-Black-Built/dp/B07HGG85HL/ref=sr_1_9?dchild=1&keywords=Kopfh%C3%B6rer&qid=1625650559&sr=8-9,4.6 out of 5 stars,"19,929",€29.99
9,[Upgraded] Anker Soundcore Liberty Neo Bluetooth Headphones - -,https://www.amazon.com/-/en/Upgraded-Soundcore-Liberty-Bluetooth-Headphones/dp/B07MCGZK3B/ref=sr_1_10?dchild=1&keywords=Kopfh%C3%B6rer&qid=1625650559&sr=8-10,4.4 out of 5 stars,"19,661",€39.99
