,name,product_summary,product_tech_spec,product_addl_info,seller,seller_link,freq_bought,freq_bought_link,link_to_all_reviews
0,Puro Sound Labs BT2200 Volume Limited Kids’ Bluetooth Headphones – Safer Headphones for Kids – Studio-Grade Audio Quality & Noise Isolation – Lime Green,,,"[{'info': 'Package Dimensions', 'value': '8.27 x 7.09 x 2.36 inches'}, {'info': 'Item Weight', 'value': '1.14 pounds'}, {'info': 'ASIN', 'value': 'B08G74P3W9'}, {'info': 'Item model number', 'value': '43191609'}, {'info': 'Batteries', 'value': '1 Lithium ion batteries required. (included)'}, {'info': 'Customer Reviews', 'value': '/*\n* Fix for UDP-1061. Average customer reviews has a small extra line on hover\n* https://omni-grok.amazon.com/xref/src/appgroup/websiteTemplates/retail/SoftlinesDetailPageAssets/udp-intl-lock/src/legacy.css?indexName=WebsiteTemplates#40\n*/\n.noUnderline a:hover {\ntext-decoration: none;\n} 4.5 out of 5 stars 1,477 ratings P.when(\'A\', \'ready\').execute(function(A) {\nA.declarative(\'acrLink-click-metrics\', \'click\', { ""allowLinkDefault"" : true }, function(event){\nif(window.ue) {\nue.count(""acrLinkClickCount"", (ue.count(""acrLinkClickCount"") || 0) + 1);\n}\n});\n}); P.when(\'A\', \'cf\').execute(function(A) {\nA.declarative(\'acrStarsLink-click-metrics\', \'click\', { ""allowLinkDefault"" : true },  function(event){\nif(window.ue) {\nue.count(""acrStarsLinkWithPopoverClickCount"", (ue.count(""acrStarsLinkWithPopoverClickCount"") || 0) + 1);\n}\n});\n}); 4.5 out of 5 stars'}, {'info': 'Best Sellers Rank', 'value': '#238 in On-Ear Headphones'}, {'info': 'Date First Available', 'value': 'October 18, 2019'}, {'info': 'Manufacturer', 'value': 'Puro Sound Labs'}]",Puro Sound Labs,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A6S62Y07R7V3Y&isAmazonFulfilled=1,,,/Puro-Sound-Labs-Bluetooth-Headphones/product-reviews/B08G74P3W9/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
1,,,,,,,,,
2,"Anker Soundcore Life P2 True Wireless Earbuds with 4 Microphones, CVC 8.0 Noise Reduction, aptX Audio, Graphene Driver, USB C, 40H Playtime, IPX7 Waterproof, Wireless Earphones for Work, Home Office",,,"[{'info': 'Product Dimensions', 'value': '3.15 x 2.05 x 1.18 inches'}, {'info': 'Item Weight', 'value': '2.08 ounces'}, {'info': 'ASIN', 'value': 'B07SJR6HL3'}, {'info': 'Item model number', 'value': 'A3919011'}, {'info': 'Batteries', 'value': '1 Lithium Polymer batteries required. (included)'}, {'info': 'Customer Reviews', 'value': '/*\n* Fix for UDP-1061. Average customer reviews has a small extra line on hover\n* https://omni-grok.amazon.com/xref/src/appgroup/websiteTemplates/retail/SoftlinesDetailPageAssets/udp-intl-lock/src/legacy.css?indexName=WebsiteTemplates#40\n*/\n.noUnderline a:hover {\ntext-decoration: none;\n} 4.3 out of 5 stars 29,551 ratings P.when(\'A\', \'ready\').execute(function(A) {\nA.declarative(\'acrLink-click-metrics\', \'click\', { ""allowLinkDefault"" : true }, function(event){\nif(window.ue) {\nue.count(""acrLinkClickCount"", (ue.count(""acrLinkClickCount"") || 0) + 1);\n}\n});\n}); P.when(\'A\', \'cf\').execute(function(A) {\nA.declarative(\'acrStarsLink-click-metrics\', \'click\', { ""allowLinkDefault"" : true },  function(event){\nif(window.ue) {\nue.count(""acrStarsLinkWithPopoverClickCount"", (ue.count(""acrStarsLinkWithPopoverClickCount"") || 0) + 1);\n}\n});\n}); 4.3 out of 5 stars'}, {'info': 'Best Sellers Rank', 'value': '#15 in Earbud & In-Ear Headphones'}, {'info': 'Date First Available', 'value': 'June 2, 2019'}, {'info': 'Manufacturer', 'value': 'Anker'}]",AnkerDirect,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A294P4X9EWVXLJ&isAmazonFulfilled=1,,,/Soundcore-Wireless-Microphones-Reduction-Waterproof/product-reviews/B07SJR6HL3/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
3,"BENEWY Earbuds, in-Ear Earbuds Wired Earphones with Volume Control & Built-in Microphone, Wired in-Ear Headphones with Noise Isolating, Compatible with iPhone, Samsung, MP3, 3.5mm Interface",,,"[{'info': 'Product Dimensions', 'value': '7.09 x 2.36 x 0.71 inches'}, {'info': 'Item Weight', 'value': '0.635 ounces'}, {'info': 'ASIN', 'value': 'B083J88QRS'}, {'info': 'Item model number', 'value': 'BENEWY'}, {'info': 'Customer Reviews', 'value': '/*\n* Fix for UDP-1061. Average customer reviews has a small extra line on hover\n* https://omni-grok.amazon.com/xref/src/appgroup/websiteTemplates/retail/SoftlinesDetailPageAssets/udp-intl-lock/src/legacy.css?indexName=WebsiteTemplates#40\n*/\n.noUnderline a:hover {\ntext-decoration: none;\n} 4.3 out of 5 stars 4,576 ratings P.when(\'A\', \'ready\').execute(function(A) {\nA.declarative(\'acrLink-click-metrics\', \'click\', { ""allowLinkDefault"" : true }, function(event){\nif(window.ue) {\nue.count(""acrLinkClickCount"", (ue.count(""acrLinkClickCount"") || 0) + 1);\n}\n});\n}); P.when(\'A\', \'cf\').execute(function(A) {\nA.declarative(\'acrStarsLink-click-metrics\', \'click\', { ""allowLinkDefault"" : true },  function(event){\nif(window.ue) {\nue.count(""acrStarsLinkWithPopoverClickCount"", (ue.count(""acrStarsLinkWithPopoverClickCount"") || 0) + 1);\n}\n});\n}); 4.3 out of 5 stars'}, {'info': 'Best Sellers Rank', 'value': '#29,436 in Audio Headphones'}, {'info': 'Is Discontinued By Manufacturer', 'value': 'No'}, {'info': 'Date First Available', 'value': 'April 15, 2020'}, {'info': 'Manufacturer', 'value': 'BENEWY'}]",,,,,/Headphones-Earbuds-Microphone-Earphones-Isolating/product-reviews/B083J88QRS/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
4,,,,,,,,,
5,,,,,,,,,
6,,,,,,,,,
7,,,,,,,,,
8,,,,,,,,,
9,,,,,,,,,
