,title,url,rating,review_count,price
0,"Lenovo ThinkPad T440 Business Notebook, Intel i5 2 x 1.9 GHz Prozessor, 4 GB Arbeitsspeicher, 500 GB, 14 Zoll Display, 1366x768, Cam, Windows 10 Pro, 1H08 (Generalüberholt)",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_computers_sr_pg1_1?ie=UTF8&adId=A01405291AD5IG9QRBRTA&url=%2FLenovo-Notebook-Windows10-Zertifiziert-General%25C3%25BCberholt%2Fdp%2FB07413TRT5%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Dlaptops%26qid%3D1625649428%26s%3Dcomputers%26sr%3D1-1-spons%26psc%3D1%26smid%3DAQ5ELYRI4891Q&qualifier=1625649428&id=8681100268169949&widgetName=sp_atf,"4,2 von 5 Sternen",216,"379,00 €"
1,"BMAX Y13 2 in 1 Laptop, 13.3 Zoll FHD Convertible Touchscreen Notebook, Windows 10, Intel Gemini Lake N4120 CPU, 8 GB LPDDR4-RAM, 256 GB SSD, Vollmetallgehäuse, USB-C, BT4.2, WiFi 2.4G/5.0G",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_computers_sr_pg1_1?ie=UTF8&adId=A02284113AZL2BNUGHL1&url=%2FBMAX-Y-Series-2-in-1-Laptop-Y13%2Fdp%2FB07XT5ZSJD%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3Dlaptops%26qid%3D1625649428%26s%3Dcomputers%26sr%3D1-2-spons%26psc%3D1&qualifier=1625649428&id=8681100268169949&widgetName=sp_atf,"3,8 von 5 Sternen",687,"459,00 €"
2,"HUAWEI MateBook D 14 Zoll Laptop, FullView 1080p FullHD Ultrabook, Intel Core i5-10210U, 512GB NVMe PCIe SSD+16GB RAM, QWERTZ-Layout, Fingerabdrucksensor, versteckbare Kamera, Windows 10 Home, Grau",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_computers_sr_pg1_1?ie=UTF8&adId=A0578914MN4MRMPLEYSQ&url=%2FHUAWEI-Ultrabook-QWERTZ-Layout-Fingerabdrucksensor-versteckbare%2Fdp%2FB08ZDMX4DJ%2Fref%3Dsr_1_3_sspa%3Fdchild%3D1%26keywords%3Dlaptops%26qid%3D1625649428%26s%3Dcomputers%26sr%3D1-3-spons%26psc%3D1&qualifier=1625649428&id=8681100268169949&widgetName=sp_atf,"4,7 von 5 Sternen",496,"699,90 €"
3,"Acer Chromebook Convertible 13 Zoll (CP513-1H) (ChromeOS, Laptop, FHD Touch-Display, Akkulaufzeit: Bis zu 14 Stunden, Tastatur beleuchtet, 1,3 Kg leicht, 15.55 mm dünn) Plus Chromebook",https://www.amazon.com/Acer-Chromebook-Convertible-Touch-Display-Akkulaufzeit/dp/B08R7LXKDY/ref=sr_1_4?dchild=1&keywords=laptops&qid=1625649428&s=computers&sr=1-4,"4,7 von 5 Sternen",32,"415,95 €"
4,"OMEN 15-en0375ng (15,6 Zoll / FHD IPS 144Hz) Gaming Laptop (AMD Ryzen 7 4800H, 16GB DDR4, 512GB SSD, NVIDIA GeForce RTX 2060 6GB, Windows 10, QWERTZ-Layout) schwarz",https://www.amazon.com/15-en0375ng-Gaming-GeForce-Windows-schwarz/dp/B093LJKG5L/ref=sr_1_5?dchild=1&keywords=laptops&qid=1625649428&s=computers&sr=1-5,"4,3 von 5 Sternen",62,
5,"Acer Chromebook 14 Zoll (CB314-1H-C7PS) (ChromeOS, Laptop, FHD Display, Akkulaufzeit: Bis zu 12,5 Stunden, 4 GB LPDDR4 RAM / 64 GB eMMC, 1,5 Kg leicht, 19,7 mm dünn)",https://www.amazon.com/Acer-Chromebook-CB314-1H-C7PS-ChromeOS-Akkulaufzeit/dp/B091ZGGPKR/ref=sr_1_6?dchild=1&keywords=laptops&qid=1625649428&s=computers&sr=1-6,"4,4 von 5 Sternen",1.702,"249,99 €"
6,"HUAWEI MateBook D 15 Zoll Laptop, FullView 1080p FullHD Ultrabook, Intel Core i3-10110U, 256GB NVMe PCIe SSD+8GB RAM, QWERTZ-Layout, Fingerabdrucksensor, versteckbare Kamera, Windows 10 Home, Grau",https://www.amazon.com/HUAWEI-Ultrabook-QWERTZ-Layout-Fingerabdrucksensor-versteckbare/dp/B095C351TP/ref=sr_1_7?dchild=1&keywords=laptops&qid=1625649428&s=computers&sr=1-7,"4,7 von 5 Sternen",496,"499,00 €"
7,"DELL Latitude E5470 Business Notebook, Intel i5 6.Gen 2 x 2.4 GHz Prozessor, 16 GB Arbeitsspeicher, 1000 GB SSD, 14.1 Zoll Display, Full HD, 1920x1080, Cam, Windows 10 Pro, 1920 (Generalüberholt)",https://www.amazon.com/Latitude-Prozessor-Arbeitsspeicher-1920x1080-General%C3%BCberholt/dp/B08NHTC9N3/ref=sr_1_8?dchild=1&keywords=laptops&qid=1625649428&s=computers&sr=1-8,"4,5 von 5 Sternen",114,"745,00 €"
8,"ASUS Intel Quad SSD (17,3 Zoll HD++) Notebook (Intel® Pentium® Silver Quad N5030 mit 3.10 GHz, 8GB DDR4, 512 GB SSD, Intel HD Graphics 605, HDMI, Windows 10, MS Office) #6638",https://www.amazon.com/ASUS-Notebook-Pentium%C2%AE-Graphics-6638/dp/B096KNFDRY/ref=sr_1_9?dchild=1&keywords=laptops&qid=1625649428&s=computers&sr=1-9,"4,3 von 5 Sternen",1.564,"444,00 €"
9,"Lenovo (15,6 Zoll) HD+ Notebook (Intel N4020 2x2.80 GHz, 8GB DDR4, 512 GB SSD, Intel UHD 600, HDMI, Webcam, Bluetooth, USB 3.0, WLAN, Windows 10 Prof. 64 Bit) #6723",https://www.amazon.com/Lenovo-Notebook-Bluetooth-Windows-6723/dp/B093PTFQQG/ref=sr_1_10?dchild=1&keywords=laptops&qid=1625649428&s=computers&sr=1-10,"4,3 von 5 Sternen",3.412,"399,00 €"
