,title,url,rating,review_count,price
0,Upgraded UM250 Mini PC AMD Ryzen Embedded V1605B 4 Cores/8 Threads | 16 GB RAM 512 GB SSD | Radeon Vega 8 Graphics | Windows 10 Pro | 4K HDMI/Display/USB-C |2X RJ45 Gigabit BT5.1 | 4X USB 3.1,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_computers-intl-ship_sr_pg6_1?ie=UTF8&adId=A07478913LHFYHP6UIAG5&url=%2FUpgraded-Embedded-Threads-Graphics-Windows%2Fdp%2FB093F7DB8D%2Fref%3Dsr_1_61_sspa%3Fdchild%3D1%26keywords%3DProcessor%26qid%3D1625578271%26s%3Dcomputers-intl-ship%26sr%3D1-61-spons%26psc%3D1&qualifier=1625578271&id=4365641867104599&widgetName=sp_atf_next,4.8 out of 5 stars,43,$484.49
1,Mini PC AMD Ryzen 3 PRO 4350G up to 4.0 GHz| 16 GB RAM 256 GB PCIe SSD | Radeon Graphics| Windows 10 Pro | Intel WIFI6 AX200 BT 5.1 | 4K HDMI 2.0 / DisplayPort | 2X RJ45 | 4X USB 3.0 Small form factor,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_next_computers-intl-ship_sr_pg6_1?ie=UTF8&adId=A04539752M4VF4TT47SH7&url=%2FRadeon-Graphics-Windows-DisplayPort-factor%2Fdp%2FB092V42WJS%2Fref%3Dsr_1_62_sspa%3Fdchild%3D1%26keywords%3DProcessor%26qid%3D1625578271%26s%3Dcomputers-intl-ship%26sr%3D1-62-spons%26psc%3D1&qualifier=1625578271&id=4365641867104599&widgetName=sp_atf_next,4.5 out of 5 stars,2,$659.99
2,"AMD Ryzen 3 3300X 4-Core, 8-Thread Unlocked Desktop Processor with Wraith Stealth Cooler",https://www.amazon.com/AMD-Ryzen-3300X-8-Thread-Processor/dp/B0876YS2T4/ref=sr_1_63?dchild=1&keywords=Processor&qid=1625578271&s=computers-intl-ship&sr=1-63,4.5 out of 5 stars,153,$199.99
3,"Mini PC, BMAX Intel Core i5 Processor Windows 10 Mini Desktop Computer, 8GB RAM 256GB SSD, Supports 4K 60Hz Mini DP/Type C & 4K 30Hz HDMI/4 USB Ports/Dual WiFi /BT4.2",https://www.amazon.com/BMAX-Processor-Windows-Computer-Supports/dp/B08XZ8PYXX/ref=sr_1_64?dchild=1&keywords=Processor&qid=1625578271&s=computers-intl-ship&sr=1-64,4.4 out of 5 stars,22,$349.99
4,"2021 Newest HP Premium 14-inch HD Laptop, Intel Dual-Core Processor Up to 2.8GHz, 16GB RAM, 64GB eMMC Storage, Webcam, Bluetooth, HDMI, Wi-Fi, White, Windows 10 with 1 Year Microsoft 365",https://www.amazon.com/HP-Premium-Dual-Core-Processor-Bluetooth/dp/B096CZCN7Z/ref=sr_1_65?dchild=1&keywords=Processor&qid=1625578271&s=computers-intl-ship&sr=1-65,3.6 out of 5 stars,11,$399.00
5,Intel Core i7-3770K Quad-Core Processor 3.5 GHz 8 MB Cache LGA 1155 - BX80637I73770K,https://www.amazon.com/Intel-i7-3770K-Quad-Core-Processor-Cache/dp/B007SZ0EOW/ref=sr_1_66?dchild=1&keywords=Processor&qid=1625578271&s=computers-intl-ship&sr=1-66,4.5 out of 5 stars,624,$297.98
6,"Tablet 10 Inch HD, Dual SIM/WiFi, Android 9.0 Pie Tablet, 32GB ROM/128GB Expand, Quad-Core Processor, 6000mAh Battery, Dual Camera, Bluetooth/GPS/OTG Google Certified Tablet PC【2020 Newest Black】",https://www.amazon.com/Android-Quad-Core-Processor-Bluetooth-Certified/dp/B08HJ1D4PY/ref=sr_1_67?dchild=1&keywords=Processor&qid=1625578271&s=computers-intl-ship&sr=1-67,3.6 out of 5 stars,"1,712",
7,AMD FD8350FRHKBOX FX-8350 FX-Series 8-Core Black Edition Processor,https://www.amazon.com/AMD-FD8350FRHKBOX-FX-8350-8-Core-Processor/dp/B009O7YUF6/ref=sr_1_68?dchild=1&keywords=Processor&qid=1625578271&s=computers-intl-ship&sr=1-68,4.6 out of 5 stars,"6,148",$391.02
8,"CHUWI CoreBox Windows 10 Mini PC,Intel Core i5 Mini Desktop pc, 8GB DDR3 256GB SSD,Expandable 2TB 2.5 Inch HDD, 2.4GHz/5GHz Dual WiFi/Gigabit Ethernet / 4K Decoding/BT4.2",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_computers-intl-ship_sr_pg6_1?ie=UTF8&adId=A06491843DU18FENUSOOZ&url=%2FCHUWI-Windows-Office-Expandable-1000Mbps%2Fdp%2FB07T5BNF14%2Fref%3Dsr_1_69_sspa%3Fdchild%3D1%26keywords%3DProcessor%26qid%3D1625578271%26s%3Dcomputers-intl-ship%26sr%3D1-69-spons%26psc%3D1&qualifier=1625578271&id=4365641867104599&widgetName=sp_mtf,4.1 out of 5 stars,296,$299.00
9,"Montech X3 Mesh 6pcs, 3 x 140mm& 3 x 120mm Fixed RGB Lighting Fans ATX Mid-Tower PC Gaming Case, USB3.0, Door Open Tempered Glass Side Panel, High Airflow, White",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_computers-intl-ship_sr_pg6_1?ie=UTF8&adId=A1039884SD3TDMRDWGV8&url=%2FMontech-X3-Lighting-Mid-Tower-Tempered%2Fdp%2FB092441BHJ%2Fref%3Dsr_1_70_sspa%3Fdchild%3D1%26keywords%3DProcessor%26qid%3D1625578271%26s%3Dcomputers-intl-ship%26sr%3D1-70-spons%26psc%3D1&qualifier=1625578271&id=4365641867104599&widgetName=sp_mtf,4.4 out of 5 stars,"2,294",$72.99
10,Intel Pentium Gold G5420 Desktop Processor 2 Core 3.8 GHz LGA1151 300 Series 54W,https://www.amazon.com/Intel-Pentium-Desktop-Processor-LGA1151/dp/B07SBKXDNS/ref=sr_1_71?dchild=1&keywords=Processor&qid=1625578271&s=computers-intl-ship&sr=1-71,4.6 out of 5 stars,150,$129.99
11,"Newest HP Stream 14"" HD SVA Laptop Computer, Intel Celeron N4000 Processor, 4GB RAM, 64GB eMMC Flash Memory, 1-Year Office 365, HDMI, Bluetooth, Windows 10, Pink, AllyFlex MP, Online Class Ready",https://www.amazon.com/HP-14-Computer-Processor-Bluetooth/dp/B08LKQ3FGB/ref=sr_1_72?dchild=1&keywords=Processor&qid=1625578271&s=computers-intl-ship&sr=1-72,4.5 out of 5 stars,393,
12,"AMD Ryzen 9 3900XT 12-core, 24-Threads Unlocked Desktop Processor",https://www.amazon.com/AMD-Ryzen-3900XT-24-Threads-Processor/dp/B089WD454D/ref=sr_1_73?dchild=1&keywords=Processor&qid=1625578271&s=computers-intl-ship&sr=1-73,4.8 out of 5 stars,"1,632",$795.00
