,title,url,rating,review_count,price
0,"10000mAh-Akku Smartphone ohne Vertrag OUKITEL K15 Plus, 18W Schnellladung+Rückladung, 3GB+32GB, 13MP Dreifachkamera, Android 10 Dual-SIM-Handy, 6,52’’HD+,Fingerabdruck-Gesichtserkennung NFC Schwarz",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_electronics_sr_pg1_1?ie=UTF8&adId=A00410332Y4B8WB5MM0VJ&url=%2FOUKITEL-K15-Plus-Dreifachkamera-Fingerabdruck-Gesichtserkennung%2Fdp%2FB095S24Y91%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Dsmartphones%26qid%3D1625659878%26s%3Dce-de%26sr%3D1-1-spons%26psc%3D1&qualifier=1625659878&id=8710732091229058&widgetName=sp_atf,,,"169,99 €"
1,"DOOGEE N30 Smartphone ohne Vertrag Gebogenes Glas Rückwandplatine 6,55 Zoll FHD+ Display 4500mAh Akku 16MP AI Quad Kamera 4GB RAM+128GB ROM Dual SIM Android 10 Bluetooth 5,0 Handy(Blau)",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_electronics_sr_pg1_1?ie=UTF8&adId=A09368131ITQCCRNJONOK&url=%2FDOOGEE-N30-Smartphone-Gebogenes-R%25C3%25BCckwandplatine-Blau%2Fdp%2FB08LS9T2Q6%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3Dsmartphones%26qid%3D1625659878%26s%3Dce-de%26sr%3D1-2-spons%26psc%3D1&qualifier=1625659878&id=8710732091229058&widgetName=sp_atf,"4,2 von 5 Sternen",358,"159,99 €"
2,"Outdoor Handy, IIIF150 B2021 Outdoor Smartphone Ohne Vertrag, 6GB RAM 64GB ROM, 8000mAh Akku, 4G Dual SIM, IP68 Wasserdichter, Android 10 Handy, 5,86 Zoll, NFC GPS, Face/Fingerprint ID, Gold",https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_electronics_sr_pg1_1?ie=UTF8&adId=A09556562IPWV7UJO0CTV&url=%2FIIIF150-B2021-Smartphone-Wasserdichter-Fingerprint-Orange%2Fdp%2FB091BZKCJN%2Fref%3Dsr_1_3_sspa%3Fdchild%3D1%26keywords%3Dsmartphones%26qid%3D1625659878%26s%3Dce-de%26sr%3D1-3-spons%26psc%3D1&qualifier=1625659878&id=8710732091229058&widgetName=sp_atf,"4,4 von 5 Sternen",64,"179,99 €"
3,"Samsung Galaxy S20 FE, Android Smartphone ohne Vertrag, 6,5 Zoll Super AMOLED Display, 4.500 mAh Akku, 128 GB/ 6 GB RAM, Handy in Cloud Red inkl 36 Monate Herstellergarantie [Exklusiv bei Amazon]",https://www.amazon.com/Samsung-Android-Smartphone-Herstellergarantie-Exklusiv/dp/B093THTP9V/ref=sr_1_4?dchild=1&keywords=smartphones&qid=1625659878&s=ce-de&sr=1-4,"4,6 von 5 Sternen",1.601,"625,00 €"
4,"Nokia 8.3 5G – Vierfach-Kamera mit ZEISS-Optik - 6,81"" Display – 5G-Konnektivität – Android One – Qualcomm Snapdragon – Dual-SIM - Polar Night - Deutsche Version",https://www.amazon.com/Nokia-8-3-Vierfach-Kamera-ZEISS-Optik-5G-Konnektivit%C3%A4t/dp/B08HZF8MS7/ref=sr_1_5?dchild=1&keywords=smartphones&qid=1625659878&s=ce-de&sr=1-5,"4,3 von 5 Sternen",371,"359,00 €"
5,"Xiaomi Redmi Note 10 Pro Smartphone + Kopfhörer (16,94cm (6,67"") AMOLED Display 120Hz, 6GB+64GB Speicher, 108MP Quad-Rückkamera, 13MP Frontkamera, Dual-SIM, Android 11) Grau - [Exklusiv bei Amazon]",https://www.amazon.com/Xiaomi-Smartphone-Kopfh%C3%B6rer-Quad-R%C3%BCckkamera-Frontkamera/dp/B08XJXNN9N/ref=sr_1_6?dchild=1&keywords=smartphones&qid=1625659878&s=ce-de&sr=1-6,"4,5 von 5 Sternen",396,"279,90 €"
6,OnePlus Nord CE 5G 12 GB RAM 256 GB SIM-freies Smartphone mit Dreifachkamera und Dual-SIM - 2 Jahre Garantie - Charcoal Ink,https://www.amazon.com/OnePlus-SIM-freies-Smartphone-Dreifachkamera-Dual-SIM-Charcoal-Ink/dp/B093T7T5D6/ref=sr_1_7?dchild=1&keywords=smartphones&qid=1625659878&s=ce-de&sr=1-7,"4,8 von 5 Sternen",6,"399,00 €"
7,"POCO X3 PRO Smartphone (16,94cm (6,67"") FHD+ LCD DotDisplay 120Hz, 8GB+256GB Speicher, 48MP Quad-Rückkamera, 20MP Frontkamera, Dual-SIM, Android 11) Blau - [Exklusiv bei Amazon]",https://www.amazon.com/Smartphone-DotDisplay-Speicher-Quad-R%C3%BCckkamera-Frontkamera/dp/B08XY935HP/ref=sr_1_8?dchild=1&keywords=smartphones&qid=1625659878&s=ce-de&sr=1-8,"4,6 von 5 Sternen",69,"279,99 €"
8,"Xiaomi Poco M3 Pro 5G - Smartphone 128GB, 6GB RAM, Dual SIM, Power Black",https://www.amazon.com/Xiaomi-Poco-M3-Pro-Smartphone/dp/B093WFY7JD/ref=sr_1_9?dchild=1&keywords=smartphones&qid=1625659878&s=ce-de&sr=1-9,"4,4 von 5 Sternen",241,"214,99 €"
9,"Blackview BV6300 Pro Outdoor Smartphone ohne Vertrag, 5,7 Zoll Android 10, 16MP Quad-Kamera mit Smart HDR, P70 Octa-Core 6GB/128GB, 4380mAh Akku, Dual SIM Handy - Ultraslim Ergonomisches Design",https://www.amazon.com/Blackview-Outdoor-Smartphone-Quad-Kamera-Octa-Core-Orange/dp/B08CT9GBX7/ref=sr_1_10?dchild=1&keywords=smartphones&qid=1625659878&s=ce-de&sr=1-10,"4,3 von 5 Sternen",528,"239,99 €"
