,name,product_summary,product_tech_spec,product_addl_info,seller,seller_link,freq_bought,freq_bought_link,link_to_all_reviews
0,"Wireless Lavalier Microphone 2.4G Dual-Channel Hollyland Lark 150 with Charging Case,2&20g Ultra-Light Transmitters Built-in Hi-Fi MEMS Mic 5ms Latency &100m DSP with Cameras iPhone Mixer PC",,,"[{'info': 'Item Weight', 'value': '1.44 pounds'}, {'info': 'Product Dimensions', 'value': '2.36 x 5.12 x 2.36 inches'}, {'info': 'ASIN', 'value': 'B08PKG16X8'}, {'info': 'Item model number', 'value': 'Lark 150'}, {'info': 'Batteries', 'value': '4 Lithium Polymer batteries required.'}, {'info': 'Customer Reviews', 'value': '/*\n* Fix for UDP-1061. Average customer reviews has a small extra line on hover\n* https://omni-grok.amazon.com/xref/src/appgroup/websiteTemplates/retail/SoftlinesDetailPageAssets/udp-intl-lock/src/legacy.css?indexName=WebsiteTemplates#40\n*/\n.noUnderline a:hover {\ntext-decoration: none;\n} 4.5 out of 5 stars 22 ratings P.when(\'A\', \'ready\').execute(function(A) {\nA.declarative(\'acrLink-click-metrics\', \'click\', { ""allowLinkDefault"" : true }, function(event){\nif(window.ue) {\nue.count(""acrLinkClickCount"", (ue.count(""acrLinkClickCount"") || 0) + 1);\n}\n});\n}); P.when(\'A\', \'cf\').execute(function(A) {\nA.declarative(\'acrStarsLink-click-metrics\', \'click\', { ""allowLinkDefault"" : true },  function(event){\nif(window.ue) {\nue.count(""acrStarsLinkWithPopoverClickCount"", (ue.count(""acrStarsLinkWithPopoverClickCount"") || 0) + 1);\n}\n});\n}); 4.5 out of 5 stars'}, {'info': 'Best Sellers Rank', 'value': '#4,892 in Musical Instruments ( See Top 100 in Musical Instruments ) #90 in Wireless Lavalier Microphones & Systems #2,118 in Music Recording Equipment'}, {'info': 'Is Discontinued By Manufacturer', 'value': 'No'}, {'info': 'Date First Available', 'value': 'December 3, 2020'}, {'info': 'Color Name', 'value': 'Black'}, {'info': 'Connector Type', 'value': 'USB, 3.5 mm Jack'}, {'info': 'Signal Format', 'value': '2.4GHz'}, {'info': 'Mixer Channel Quantity', 'value': '2'}, {'info': 'Speaker Size', 'value': '21'}, {'info': 'Wireless Microphone Frequency', 'value': '2.4 KHz'}, {'info': 'Size', 'value': '16*14*7cm'}, {'info': 'Hardware Platform', 'value': 'PC'}, {'info': 'Power Source', 'value': 'Battery Powered'}]",,,,,/Dual-Channel-Lark-150-Ultra-Light-Transmitters/product-reviews/B08PKG16X8/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
1,,,,,,,,,
2,,,,,,,,,
3,Canon EOS 2000D (Rebel T7) DSLR Camera + 18-55mm III Kit,,,"[{'info': 'Product Dimensions', 'value': '5.08 x 3.06 x 3.99 inches'}, {'info': 'Item Weight', 'value': '1.03 pounds'}, {'info': 'ASIN', 'value': 'B07BMV268V'}, {'info': 'Item model number', 'value': '2728C002'}, {'info': 'Batteries', 'value': '1 Lithium ion batteries required. (included)'}, {'info': 'Customer Reviews', 'value': '/*\n* Fix for UDP-1061. Average customer reviews has a small extra line on hover\n* https://omni-grok.amazon.com/xref/src/appgroup/websiteTemplates/retail/SoftlinesDetailPageAssets/udp-intl-lock/src/legacy.css?indexName=WebsiteTemplates#40\n*/\n.noUnderline a:hover {\ntext-decoration: none;\n} 4.7 out of 5 stars 519 ratings P.when(\'A\', \'ready\').execute(function(A) {\nA.declarative(\'acrLink-click-metrics\', \'click\', { ""allowLinkDefault"" : true }, function(event){\nif(window.ue) {\nue.count(""acrLinkClickCount"", (ue.count(""acrLinkClickCount"") || 0) + 1);\n}\n});\n}); P.when(\'A\', \'cf\').execute(function(A) {\nA.declarative(\'acrStarsLink-click-metrics\', \'click\', { ""allowLinkDefault"" : true },  function(event){\nif(window.ue) {\nue.count(""acrStarsLinkWithPopoverClickCount"", (ue.count(""acrStarsLinkWithPopoverClickCount"") || 0) + 1);\n}\n});\n}); 4.7 out of 5 stars'}, {'info': 'Best Sellers Rank', 'value': '#238,243 in Electronics ( See Top 100 in Electronics ) #4,951 in Digital Cameras'}, {'info': 'Date First Available', 'value': 'June 24, 2019'}, {'info': 'Manufacturer', 'value': 'Canon'}]",,,,,/Canon-2000D-Rebel-Camera-18-55mm/product-reviews/B07BMV268V/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
4,Canon EOS 850D EF-S 18-55mm is STM Kit (International Model),,,"[{'info': 'Product Dimensions', 'value': '11.1 x 8.86 x 6.5 inches'}, {'info': 'Item Weight', 'value': '1.61 pounds'}, {'info': 'ASIN', 'value': 'B084S5CW7Y'}, {'info': 'Item model number', 'value': '3925C002'}, {'info': 'Batteries', 'value': '1 Lithium ion batteries required.'}, {'info': 'Customer Reviews', 'value': '/*\n* Fix for UDP-1061. Average customer reviews has a small extra line on hover\n* https://omni-grok.amazon.com/xref/src/appgroup/websiteTemplates/retail/SoftlinesDetailPageAssets/udp-intl-lock/src/legacy.css?indexName=WebsiteTemplates#40\n*/\n.noUnderline a:hover {\ntext-decoration: none;\n} 4.7 out of 5 stars 27 ratings P.when(\'A\', \'ready\').execute(function(A) {\nA.declarative(\'acrLink-click-metrics\', \'click\', { ""allowLinkDefault"" : true }, function(event){\nif(window.ue) {\nue.count(""acrLinkClickCount"", (ue.count(""acrLinkClickCount"") || 0) + 1);\n}\n});\n}); P.when(\'A\', \'cf\').execute(function(A) {\nA.declarative(\'acrStarsLink-click-metrics\', \'click\', { ""allowLinkDefault"" : true },  function(event){\nif(window.ue) {\nue.count(""acrStarsLinkWithPopoverClickCount"", (ue.count(""acrStarsLinkWithPopoverClickCount"") || 0) + 1);\n}\n});\n}); 4.7 out of 5 stars'}, {'info': 'Best Sellers Rank', 'value': '#502,835 in Electronics ( See Top 100 in Electronics ) #3,730 in DSLR Cameras'}, {'info': 'Date First Available', 'value': 'September 10, 2020'}, {'info': 'Manufacturer', 'value': 'Canon'}]",,,,,
5,,,,,,,,,
6,"Canon EOS 2000D DSLR Camera and EF-S 18-55 mm f/3.5-5.6 IS II Lens, Black",,,"[{'info': 'Product Dimensions', 'value': '3.06 x 3.99 x 5.08 inches'}, {'info': 'Item Weight', 'value': '1.05 pounds'}, {'info': 'ASIN', 'value': 'B07B1B265L'}, {'info': 'Item model number', 'value': '2000D'}, {'info': 'Batteries', 'value': '1 Lithium ion batteries required. (included)'}, {'info': 'Customer Reviews', 'value': '/*\n* Fix for UDP-1061. Average customer reviews has a small extra line on hover\n* https://omni-grok.amazon.com/xref/src/appgroup/websiteTemplates/retail/SoftlinesDetailPageAssets/udp-intl-lock/src/legacy.css?indexName=WebsiteTemplates#40\n*/\n.noUnderline a:hover {\ntext-decoration: none;\n} 4.7 out of 5 stars 565 ratings P.when(\'A\', \'ready\').execute(function(A) {\nA.declarative(\'acrLink-click-metrics\', \'click\', { ""allowLinkDefault"" : true }, function(event){\nif(window.ue) {\nue.count(""acrLinkClickCount"", (ue.count(""acrLinkClickCount"") || 0) + 1);\n}\n});\n}); P.when(\'A\', \'cf\').execute(function(A) {\nA.declarative(\'acrStarsLink-click-metrics\', \'click\', { ""allowLinkDefault"" : true },  function(event){\nif(window.ue) {\nue.count(""acrStarsLinkWithPopoverClickCount"", (ue.count(""acrStarsLinkWithPopoverClickCount"") || 0) + 1);\n}\n});\n}); 4.7 out of 5 stars'}, {'info': 'Best Sellers Rank', 'value': '#253,378 in Electronics ( See Top 100 in Electronics ) #1,522 in DSLR Cameras'}, {'info': 'Is Discontinued By Manufacturer', 'value': 'No'}, {'info': 'Date First Available', 'value': 'February 26, 2018'}, {'info': 'Manufacturer', 'value': 'Canon (UK) Ltd'}]",,,,,/Canon-2000D-Camera-18-55-3-5-5-6/product-reviews/B07B1B265L/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
7,,,,,,,,,
8,,,,,,,,,
9,Sony Boîtier ILC plein format 7 II uniquement (aucun objectif inclus),,,"[{'info': 'Product Dimensions', 'value': '2.35 x 5 x 3.77 inches'}, {'info': 'Item Weight', 'value': '1.23 pounds'}, {'info': 'ASIN', 'value': 'B00Q2KEUFI'}, {'info': 'Item model number', 'value': 'ILCE7M2B.CEC'}, {'info': 'Batteries', 'value': '1 Lithium ion batteries required. (included)'}, {'info': 'Best Sellers Rank', 'value': '#4,854 in MP3 Player & Cell Phone Audio Docks #414,029 in MP3 & MP4 Player Accessories'}, {'info': 'Is Discontinued By Manufacturer', 'value': 'No'}, {'info': 'Date First Available', 'value': 'May 2, 2015'}, {'info': 'Manufacturer', 'value': 'Sony'}]",,,,,
