,name,product_summary,product_tech_spec,product_addl_info,seller,seller_link,freq_bought,freq_bought_link,link_to_all_reviews
0,,,,,,,,,
1,,,,,,,,,
2,"AMD Ryzen 7 3700X 8-Core, 16-Thread Unlocked Desktop Processor with Wraith Prism LED Cooler","[{'info': 'Brand', 'value': '\u200eAMD'}, {'info': 'Series', 'value': '\u200eRyzen 7'}, {'info': 'Item model number', 'value': '\u200eRyzen 7 3700X'}, {'info': 'Item Weight', 'value': '\u200e1.4 pounds'}, {'info': 'Product Dimensions', 'value': '\u200e1.57 x 1.57 x 0.24 inches'}, {'info': 'Item Dimensions  LxWxH', 'value': '\u200e1.57 x 1.57 x 0.24 inches'}, {'info': 'Processor Brand', 'value': '\u200eAMD'}, {'info': 'Processor Count', 'value': '\u200e8'}, {'info': 'Batteries', 'value': '\u200e1 Lithium ion batteries required.'}, {'info': 'Manufacturer', 'value': '\u200eAMD'}, {'info': 'ASIN', 'value': '\u200eB07SXMZLPK'}, {'info': 'Is Discontinued By Manufacturer', 'value': '\u200eNo'}, {'info': 'Date First Available', 'value': '\u200eJuly 1, 2019'}]","[{'info': 'Processor', 'value': '\u200e4.4 GHz amd_ryzen_7'}]","[{'info': 'Customer Reviews', 'value': '/*\n* Fix for UDP-1061. Average customer reviews has a small extra line on hover\n* https://omni-grok.amazon.com/xref/src/appgroup/websiteTemplates/retail/SoftlinesDetailPageAssets/udp-intl-lock/src/legacy.css?indexName=WebsiteTemplates#40\n*/\n.noUnderline a:hover {\ntext-decoration: none;\n} 4.9 out of 5 stars 21,220 ratings P.when(\'A\', \'ready\').execute(function(A) {\nA.declarative(\'acrLink-click-metrics\', \'click\', { ""allowLinkDefault"" : true }, function(event){\nif(window.ue) {\nue.count(""acrLinkClickCount"", (ue.count(""acrLinkClickCount"") || 0) + 1);\n}\n});\n}); P.when(\'A\', \'cf\').execute(function(A) {\nA.declarative(\'acrStarsLink-click-metrics\', \'click\', { ""allowLinkDefault"" : true },  function(event){\nif(window.ue) {\nue.count(""acrStarsLinkWithPopoverClickCount"", (ue.count(""acrStarsLinkWithPopoverClickCount"") || 0) + 1);\n}\n});\n}); 4.9 out of 5 stars'}, {'info': 'Best Sellers Rank', 'value': '#2 in Computer CPU Processors'}]",,,,,/AMD-Ryzen-3700X-16-Thread-Processor/product-reviews/B07SXMZLPK/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
3,,,,,,,,,
4,,,,,,,,,
5,"AMD Ryzen 5 3600 6-Core, 12-Thread Unlocked Desktop Processor with Wraith Stealth Cooler","[{'info': 'Brand', 'value': '\u200eAMD'}, {'info': 'Series', 'value': '\u200eRyzen 5'}, {'info': 'Item model number', 'value': '\u200eRyzen 5 3600'}, {'info': 'Item Weight', 'value': '\u200e1.6 ounces'}, {'info': 'Product Dimensions', 'value': '\u200e1.57 x 1.57 x 0.24 inches'}, {'info': 'Item Dimensions  LxWxH', 'value': '\u200e1.57 x 1.57 x 0.24 inches'}, {'info': 'Processor Brand', 'value': '\u200eAMD'}, {'info': 'Processor Count', 'value': '\u200e6'}, {'info': 'Manufacturer', 'value': '\u200eAMD'}, {'info': 'ASIN', 'value': '\u200eB07STGGQ18'}, {'info': 'Is Discontinued By Manufacturer', 'value': '\u200eNo'}, {'info': 'Date First Available', 'value': '\u200eJuly 1, 2019'}]","[{'info': 'Processor', 'value': '\u200e4.2 GHz ryzen_5_3600'}]","[{'info': 'Customer Reviews', 'value': '/*\n* Fix for UDP-1061. Average customer reviews has a small extra line on hover\n* https://omni-grok.amazon.com/xref/src/appgroup/websiteTemplates/retail/SoftlinesDetailPageAssets/udp-intl-lock/src/legacy.css?indexName=WebsiteTemplates#40\n*/\n.noUnderline a:hover {\ntext-decoration: none;\n} 4.9 out of 5 stars 34,270 ratings P.when(\'A\', \'ready\').execute(function(A) {\nA.declarative(\'acrLink-click-metrics\', \'click\', { ""allowLinkDefault"" : true }, function(event){\nif(window.ue) {\nue.count(""acrLinkClickCount"", (ue.count(""acrLinkClickCount"") || 0) + 1);\n}\n});\n}); P.when(\'A\', \'cf\').execute(function(A) {\nA.declarative(\'acrStarsLink-click-metrics\', \'click\', { ""allowLinkDefault"" : true },  function(event){\nif(window.ue) {\nue.count(""acrStarsLinkWithPopoverClickCount"", (ue.count(""acrStarsLinkWithPopoverClickCount"") || 0) + 1);\n}\n});\n}); 4.9 out of 5 stars'}, {'info': 'Best Sellers Rank', 'value': '#3 in Computer CPU Processors'}]",Micom Pro,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A2SNQ4AQTVSAXZ&isAmazonFulfilled=1,,,/AMD-Ryzen-3600-12-Thread-Processor/product-reviews/B07STGGQ18/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews
6,,,,,,,,,
7,,,,,,,,,
8,,,,,,,,,
9,,,,,,,,,
